|AAS000605QT1|A|2|201046947|11/08/2010 17:17:01|99999999.99|0.00|1|T||||
|AAS000605QT1|A|3|201046947|11/08/2010 17:23:42|232.00|32.00|1|T||||
|AAS000605QT1|A|4|201046947|11/08/2010 18:24:47|232.00|32.00|1|T||||
|AAS000605QT1|A|5|201046947|11/08/2010 18:35:46|232.00|32.00|1|T||||
|AAS000605QT1|A|6|201046947|12/08/2010 09:39:13|232.00|32.00|1|T||||
|AAS000605QT1|A|7|201046947|12/08/2010 10:22:15|58000.00|8000.00|1|T||||
|AAS000605QT1|A|8|201046947|12/08/2010 16:13:47|5800.00|800.00|1|T||||
|AAS000605QT1|A|9|201046947|12/08/2010 16:28:32|11600.00|1600.00|1|T||||
|AAS000605QT1|A|10|201046947|14/08/2010 10:52:54|23200.00|3200.00|1|T||||
|AAS000605QT1|A|11|201046947|14/08/2010 10:55:54|191400.00|26400.00|1|T||||
|XAXX010101000|A|13|201046947|16/08/2010 18:06:28|232.00|32.00|1|T||||
|XAXX010101000|A|22|201046947|18/08/2010 12:18:19|232.00|32.00|1|T||||
|AAS000605QT1|A|23|201046947|18/08/2010 12:30:11|25520.00|3520.00|1|T||||
|XAXX010101000|A|24|201046947|19/08/2010 15:07:01|232.00|32.00|1|T||||
|XAXX010101000|A|25|201046947|19/08/2010 15:17:02|464.00|64.00|1|T||||
|XAXX010101000|A|26|201046947|19/08/2010 16:33:42|232.00|32.00|1|T||||
|XAXX010101000|A|27|201046947|19/08/2010 16:36:00|232.00|32.00|1|T||||
|XAXX010101000|A|28|201046947|19/08/2010 16:38:26|232.00|32.00|1|T||||
|XAXX010101000|A|29|201046947|19/08/2010 17:10:13|232.00|32.00|1|T||||
|XAXX010101000|A|30|201046947|19/08/2010 17:17:55|232.00|32.00|1|T||||
|XAXX010101000|A|31|201046947|19/08/2010 17:23:59|232.00|32.00|1|T|1|2|2|
|XAXX010101000|A|32|201046947|20/08/2010 16:48:39|232.00|32.00|1|T||||
|XAXX010101000|A|33|201046947|24/08/2010 12:17:14|232.00|32.00|1|T||||
|XAXX010101000|A|34|201046947|24/08/2010 12:36:55|232.00|32.00|1|T||||
|XAXX010101000|A|35|201046947|25/08/2010 16:36:20|232.00|32.00|1|T||||
|XAXX010101000|A|36|201046947|25/08/2010 16:43:06|232.00|32.00|1|T||||
|XAXX010101000|A|37|201046947|25/08/2010 16:48:00|232.00|32.00|1|T||||
|XAXX010101000|A|38|201046947|25/08/2010 17:06:32|232.00|32.00|1|T||||
|XAXX010101000|A|39|201046947|25/08/2010 17:15:38|232.00|32.00|1|T||||
|XAXX010101000|A|40|201046947|25/08/2010 17:36:33|232.00|32.00|1|T||||
|XAXX010101000|A|41|201046947|25/08/2010 17:44:52|232.00|32.00|1|T||||
|XAXX010101000|A|42|201046947|25/08/2010 17:53:14|232.00|32.00|1|T||||
|XAXX010101000|A|43|201046947|20/08/2010 10:43:46|232.00|32.00|1|T||||
|XAXX010101000|A|44|201046947|20/08/2010 10:45:23|232.00|32.00|1|T||||
|AAS000605QT1|A|1|201046947|11/08/2010 17:11:36|232.00|32.00|0|T||||
|AAS000605QT1|A|12|201046947|16/09/2010 15:37:32|232.00|32.00|0|T||||
|REA080108FS2|A|17|201046947|30/07/2010 22:22:22|120.00|20.00|0|I|miNumero3,miNumero3|miAduanita2s,miAduanita->,<-1s :D|miAduanita2s,miAduanita->,<-1s :D|
