,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,03-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,23,889,16,03/06/2016,BOTA WALKER CHICA,,,,"$20,447.00"
,23,889,16,03/06/2016,BOTA WALKER GRANDE,,,,"$20,447.00"
,23,889,16,03/06/2016,BOTA WALKER MEDIANO,,,,"$20,447.00"
,20,51,16,03/06/2016,CABESTRILLO GRANDE,,,,"$1,020.00"
,5,51,16,03/06/2016,CABESTRILLO INFANTIL MED,,,,$255.00
,20,51,16,03/06/2016,CABESTRILLO MEDIANO,,,,"$1,020.00"
,5,55,16,03/06/2016,COLLAR CERVICAL INFANTIL MED,,,,$275.00
,60,39.7,16,03/06/2016,COLLAR CERVICAL UNIVERSAL,,,,"$2,382.00"
,4,332,16,03/06/2016,FAJA LUMBOSACRA CHICA,,,,"$1,328.00"
,3,332,16,03/06/2016,FAJA LUMBOSACRA EXTRA GRANDE,,,,$996.00
,30,332,16,03/06/2016,FAJA LUMBOSACRA GRANDE,,,,"$9,960.00"
,30,332,16,03/06/2016,FAJA LUMBOSACRA MEDIANA,,,,"$9,960.00"
,20,153.4,16,03/06/2016,FERULA FISIOLOGICA PARA MUNECA MANO DER UNIVERSAL,,,,"$3,068.00"
,5,38.5,16,03/06/2016,FERULA PARA DEDO TIPO SOMBRILLA GRANDE,,,,$192.50
,5,38.5,16,03/06/2016,FERULA PARA DEDO TIPO SOMBRILLA MEDIANA,,,,$192.50
,6,572,16,03/06/2016,"FERULA PARA RODILLA TRIPANEL 16""",,,,"$3,432.00"
,3,572,16,03/06/2016,"FERULA PARA RODILLA TRIPANEL 20""",,,,"$1,716.00"
,40,155,16,03/06/2016,RODILLERA ABIERTA UNIVERSAL,,,,"$6,200.00"
,10,62,16,03/06/2016,TOBILLERA ELASTICA CHICA,,,,$620.00
,5,69,16,03/06/2016,TOBILLERA ELASTICA GRANDE,,,,$345.00
,5,69,16,03/06/2016,TOBILLERA ELASTICA MEDIANA,,,,$345.00
,10,186,16,03/06/2016,FERULA FISIOLOGICA PARA MUNECA MANO IZQ C/PULGAR  EN ABDUCCION  MEDIANA,,,,"$1,860.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$106,508.00"
,,,,,,,,,"$17,041.28"
,,,,,,,,,"$123,549.28"
