,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,04-dic-15,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,1,0,0,2015-12-08,LENALIDOMIDA 10MG CAP.,2991,,,,,
,2,0,0,2015-12-08,FINGOLIMOD 0.5MG C/28 CAP.,2925,,,,,
,2,0,0,2015-12-08,GLATIRAMER 20MG/ML SOL. INY. C/28 JER. PRELLENADA,224,,,,,
,2,0,0,2015-12-08,CAPECITABINA 500MG C/120 GRAGEAS,898,,,,,
,7,0,0,2015-12-08,DARBEPOETINA ALFA 500MCG JER. PRELLENADA,2985,,,,,
,5,0,0,2015-12-08,NILOTIMIB 200MG C/28 CAP.,2936,,,,,
,2,0,0,2015-12-08,TACROLIMUS 5MG C/50 TAB.,3003,,,,,
,8,0,0,2015-12-08,ETANERCEPT 25MG FCO. C/4 AMP.,349,,,,,
,5,0,0,2015-12-08,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,,,
,40,0,0,2015-12-08,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,,,
,6,0,0,2015-12-08,MICOFENOLATO SODICO 360MG C/120 TAB.,2822,,,,,
,10,0,0,2015-12-08,LINEZOLID 600MG C/10 TAB.,1060,,,,,
,3,0,0,2015-12-08,LOPINAVIR + RITONAVIR 200MG/50MG C/120 TAB.,1759,,,,,
,4,0,0,2015-12-08,LEUPRORELINA 22.5MG C/1 AMP.,2911,,,,,
,4,0,0,2015-12-08,EFAVIRENZ 600MG C/30 COMP.,1571,,,,,
,15,0,0,2015-12-08,SOMATROPINA 15MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,3001,,,,,
,7,0,0,2015-12-08,"INTERFERON BETA-1a 30MCG (6,000,000 UI) C/1 JER. PRELLENADA",68,,,,,
,30,0,0,2015-12-08,SOMATROPINA 10MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,3000,,,,,
,2,0,0,2015-12-08,RITONAVIR 100MG 2 FCO. C/84 CAP. ,2387,,,,,
