FORMATO DE REQUISICI…N,,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
24,,,,,,28-sep-15,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
REFORMA,,,,,,MARIANA LOPEZ,,,,41.56,"2"""
,,,,,,,,,,28.83,"1"""
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,187-47,COLGANTE PENDAFLEX
,6,145,16,06/10/2015,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,,,,,,
,6,115,16,06/10/2015,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,,,,,,
,5,7.7,16,06/10/2015,FRANELA GRUESA,,,,,,
,3,20,16,06/10/2015,AXION EN POLVO,,,,,,
,8,24,16,06/10/2015,AROMATIZANTE AEROSOL (EXCEPTO CANELA NI FRESA),,,,,,
,20,4.5,16,06/10/2015,PASTILLA PARA BA¾O,,,,,,
,8,43,16,06/10/2015,PLEDGE P LIMPIAR MADERA,,,,,,
,1,17,16,06/10/2015,SERVILLETAS C/ 500,,,,,,
,2,45,16,06/10/2015,REPUESTO DE AROMATIZANTE,,,,,,
