,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED4461,3,14,0,28/03/2016," BETAMETASONA, CLORTRIMAZOL, GENTAMICINA C/40 gr.  CREMA 50 mg /1gr/ 1gr",,,,
MED0219,8,83.5,0,28/03/2016,"ACIDO VORICO , BORAX (LAV OFTENO) SOLUCION 2gr/4gr",,,,
MED4488,10,22,0,28/03/2016,ALIN GOTAS,,,,
MED0101,10,11,0,28/03/2016,AMPULAS DE COMBIVENT AMPULAS DE 2.5ML CAJA C/10 AMP DE 05.MG/2.5MG PARA NEBULIZAR (STERIVEN),,,,
MED4432,50,7,0,28/03/2016,BONADOXINA AMP 25 MG DE 1 ML ,,,,
MED0065,200,4.83,0,28/03/2016,BROMURO DE BUTILHIOSCINA INY. 20MG/1ML ,,,,
MED0091,50,3.8,0,28/03/2016,CLONIXINATO DE LICINA AMP.,,,,
MED4463,4,228,0,28/03/2016,CLORURO DE ETILO SPRAY,,,,
MED1012,300,6.9,0,28/03/2016,DEXAMETASONA  SOL. INY. 8 MG,,,,
MED0367,10,31,0,28/03/2016,DEXNE SOL OFT. 10 ML DEXAMETASONA/ NEOMICINA,,,,
MED1008,10,17.5,0,28/03/2016,DICLOFENACO GEL,,,,
MED0116,250,5.75,0,28/03/2016,DICLOFENACO INY 75 MG ,,,,
MED4465,8,15,0,28/03/2016,"HIDROCORTISONA, CLORANFENICOL, BENZOCAINA  GOTAS MG 25 MG 20 MG",,,,
MED1093,8,52,0,28/03/2016,IBUPROFENO GOTAS,,,,
MED1032,300,5,0,28/03/2016,KETOROLACO AMP 30MG,,,,
MED0236,100,4,0,28/03/2016,METAMIZOL INYECTABLE  DE 2ML,,,,
MED4457,8,199,0,28/03/2016,NEOMICINA POLIMIXINA B BACITRACINA GTS 15 ML,,,,
MED0255,3,30,0,28/03/2016,NEOSPORIN UNGUENTO,,,,
MED4492,50,0.75,0,28/03/2016,Nifedipino 5MG SUBLINGUAL,,,,
MED0260,50,0.85,0,28/03/2016,NIMESULIDA TAB 100 MG,,,,
MED0266,112,0.68,0,28/03/2016,OMEPRAZOL C/14   CAPS. 20 MG,,,,
MED4458,8,245,0,28/03/2016,"OTO ENI 10 ML=Ciprofloxacino, lidocaina, hidrocortisona ",,,,
MED0296,4,70,0,28/03/2016,PONTIOFTENO TETRACAINA/ GOTAS 10 ML,,,,
MED0304,50,2.7,0,28/03/2016,RANITIDINA AMP 50 MG,,,,
MED0317,10,22,0,28/03/2016,Rosel 50 SOL 60ML,,,,
MED4459,8,17,0,28/03/2016,Soldrin Otico GTS 5 ML,,,,
MED4513,100,4.6,0,28/03/2016,TRAMADOL AMPULAS 100 MG 2ML,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
