,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,11-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTRUO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2,84,0,2016-04-11,DIOLMEX POMADA,,, $168.00 ,
,6,80,16,2016-04-11,TIJERA QUITA PUNTOS ,,, $480.00 ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,16,2016-04-06,,,, $-   ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, $-   ,
,,,,,,,, $648.00 ,
,,,,,,,, $103.68 ,
,,,,,,,, $751.68 ,
