STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION ,ID AGRUPADOR
,,38,0,2016-08-23,CLOROPIRAMINA 20MG AMP.,
,,5.5,0,2016-08-23,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,
,,4.83,0,2016-08-23,KETOROLACO 30MG AMP.,
,,30.5,0,2016-08-23,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,
,,1.89,0,2016-08-23,NAPROXENO GI TABS. DE 500MG C/10,
,,0.67,0,2016-08-23,OMEPRAZOL CAPSULA 20 MG C/14,
,,25,0,2016-08-23,CLORANFENICOL UNGUENTO TUBO 5 MG,
,,3.03,0,2016-08-23,GABAPENTINA 300MG TAB,
,,29,0,2016-08-23,BETAMETASONA AMP,
,,11.65,0,2016-08-23,CLORURO DE SODIO 0.9% 250ML,
,,14.8,0,2016-08-23,CLORURO DE SODIO 0.9% 500ML,
,,333.5,0,2016-08-23,NITROFURAL POMADA TARRO,
,,2.3,0,2016-08-23,ASPIRINA PROTEC TABLETAS LIB. RETARDADA 100 MG C/28,
,,18,0,2016-08-23,AGUA DE IRRIGACION 1LT,
,,3,0,2016-08-23,AGUA INYECTABLE 10CC,
,,11.65,0,2016-08-23,GLUCOSADO 5% 250ML,
,,2.95,16,2016-08-23,GUANTES CAUCHO NO. 7 USO CIRUGIA,
,,2.95,16,2016-08-23,GUANTES CAUCHO NO. 8 USO CIRUGIA,
,,14.8,0,2016-08-23,HARTMAN 500ML,
,,6,16,2016-08-23,JELCO NO. 16,
,,15,16,2016-08-23,SUTURA NYLON 2,
,,15,16,2016-08-23,SUTURA NYLON 3,
,,16,16,2016-08-23,SUTURA NYLON 4,
,,17,16,2016-08-23,SUTURA NYLON 5,
,,22.5,16,2016-08-23,PILAS AA,
,,24,16,2016-08-23,PILA AAA,
,,9.9,16,2016-08-23,TERMOMETRO ORAL CLINICO MERCURIAL,
