,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,600,28.44,16,22/03/2016,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,"$17,064.00",
,50,240.24,16,22/03/2016,DENGUE NS1 +AB C/10 PRUEBAS RAPIDAS,,,"$12,012.00",
,25,233.28,16,22/03/2016,REACTIVO PARA INFLUENZA A Y B,,,"$5,832.00",
,125,38.98,16,22/03/2016,HELICOBACTER PYLORI (SUERO) ,,,"$4,872.00",
,400,11.92,16,22/03/2016,PLACA DE AGAR EMB,,,"$4,768.00",
,2000,1.55,16,22/03/2016,TUBOS VACUTAINER TAPON LILA 4ML,,,"$3,100.00",
,600,3.8,16,22/03/2016,PRUEBA DE EMBARAZO DE 200 MU/MI,,,"$2,280.00",
,1100,0.16,16,22/03/2016,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,$170.50,
,600,3.24,16,22/03/2016,RPR CAJA C/200 PRUEBAS,,,"$1,944.00",
,100,14.98,16,22/03/2016,PLACA DE AGAR SANGRE CON AZIDA,,,"$1,498.00",
,100,14.98,16,22/03/2016,PLACA DE AGAR SANGRE,,,"$1,498.00",
,120,11.81,16,22/03/2016,PLACA D/AGAR SAL-MANITOL,,,"$1,417.20",
,80,11.92,16,22/03/2016,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,$953.60,
,80,11.92,16,22/03/2016,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,$953.60,
,100,9.42,16,22/03/2016,PLACA D/AGAR MUELLER-HINTON,,,$942.00,
,10,84,16,22/03/2016,"ANTIGENO PARATIFICO ""A"" FCO. 5ML",,,$840.00,
,10,84,16,22/03/2016,"ANTIGENO PARATIFICO ""B"" FCO. 5ML",,,$840.00,
,10,84,16,22/03/2016,"ANTIGENO TIFICO ""H"" FCO. 5ML",,,$840.00,
,9,74,16,22/03/2016,"ANTIGENO TIFICO ""O"" FCO. 5ML",,,$666.00,
,2000,0.26,16,22/03/2016,CUBREOBJETOS 22X22,,,$520.00,
,1,242,16,22/03/2016,ACEITE DE INMERSION FCO. 100ML,,,$242.00,
,1,110,16,22/03/2016,COLORANTE AZUL DE METILENO FCO. 1 LT,,,$110.00,
,1,84,16,22/03/2016,ANTIGENO PROTEUX OX-19 FCO. 5ML,,,$84.00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"$63,446.90",
,,,,,,,,"$10,151.50",
,,,,,,,,"$73,598.40",
