,,,,FORMATO DE REQUISICI?N,,
,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,03-jun-16
DESTINO:,,,,,,ELABORADO POR:
,,,,,,ARTURO HEREDIA
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
MED1098,20,38.2,0,09/06/2016,CLOROPIRAMINA 20MG AMP.,
MED4448,160,1.48,0,09/06/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,
MED0061,500,4.83,0,09/06/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,
MED0073,100,1.97,0,09/06/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,
MED4416,15,3.8,0,09/06/2016,CLONIXINATO DE LISINA SOL. INY. 100MG/ML,
MED0094,100,0.3,0,09/06/2016,MALEATO DE CLORFENAMINA 4MG TAB.,
MED0095,40,0.73,0,09/06/2016,CLORFENAMINA COMPUESTA KY6 500MG,
MED0101,30,11,0,09/06/2016,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,
MED1012,800,6.9,0,09/06/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,
MED4443,160,0.47,0,09/06/2016,DICLOFENACO 100MG TAB.C/10,
MED1020,60,0.33,0,09/06/2016,DIFENIDOL 25MG TAB.,
MED0138,60,2.85,0,09/06/2016,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,
MED1045,200,0.69,0,09/06/2016,KETOROLACO TAB. 10 MG,
MED1011,5,90,0,09/06/2016,LIDOCAINA 10% SPRAY,
MED0223,96,0.75,0,09/06/2016,LOPERAMIDA 2 MG C/12 TABLETAS,
MED0226,120,0.8,0,09/06/2016,LORATADINA 10MG GRAGEAS,
MED4451,300,7,0,09/06/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,
MED0235,150,0.8,0,09/06/2016,METAMIZOL SODICO C/10 TABS,
MED0251,50,1.9,0,09/06/2016,NAPROXENO GI TABS. DE 500MG C/10,
MED0287,24,31.9,0,09/06/2016,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,
MED0302,15,30.4,0,09/06/2016,PULMICORT DE .125 ML PARA NEBULIZAR CON 5/ AMPOYETAS SOBRE 2 ML BUDESONIDA,
MED0305,120,0.75,0,09/06/2016,RANITIDINA 300MG TAB.,
MED0320,50,2.2,0,09/06/2016,SAL DE UVAS PICOT C/50,
MED4522,100,16,0,09/06/2016,BROMHEXINA JARABE INFANTIL,
MED4524,5,0.475,0,09/06/2016,FUROSEMIDA 40 MG TABLETAS,
MED4525,28,0.8933,0,09/06/2016,ESPRADEN CAJA CON 30 TAB ,
MED4526,45,34,0,09/06/2016,BENCIDAMINA SPRAY 30 ML,
MED4527,10,8.7857,0,09/06/2016,TERBINAFINA 250 MG TABS,
MED4530,25,16,0,09/06/2016,METAMIZOL JARABE 120 ML,
MAT0347,300,0.18,16,09/06/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,
MAT0484,400,0.85,16,09/06/2016,GASA SECA ESTERIL 10X10,
EQU009,5,130,16,09/06/2016,RINON DE ACERO INOX. 500 ML ,
MAT0895,48,15.08,16,09/06/2016,SUTURA NYLON 3,
MAT0896,48,16.34,16,09/06/2016,SUTURA NYLON 4,
MAT0897,48,20.75,16,09/06/2016,SUTURA NYLON 5,
MAT1119,30,9.9,16,09/06/2016,TERMOMETRO ORAL CLINICO MERCURIAL,
