,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,25,38,0,2016-07-19,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,1, $38.00 , $950.00 
,90,18,0,2016-07-19,AGUA DE IRRIGACION 1LT,,1, $18.00 ," $1,620.00 "
,20,11.65,0,2016-07-19,GLUCOSADO 5% 250ML,,1, $11.65 , $233.00 
,120,11.65,0,2016-07-19,CLORURO DE SODIO 0.9% 250ML,,1, $11.65 ," $1,398.00 "
,40,11.65,0,2016-07-19,HARTMAN 250ML,,1, $11.65 , $466.00 
,200,1.68,16,2016-07-19,JERINGA 1CC (29X13),,100, $168.00 , $336.00 
,30,22.5,16,2016-07-19,PILAS AA,,1, $22.50 , $675.00 
,20,24,16,2016-07-19,PILA AAA,,1, $24.50 , $480.00 
,20,18,0,2016-07-19,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,1, $18.00 , $360.00 
,6,27,0,2016-07-19,SULFADIACINA DE PLATA MICRONIZADA CREMA AL 1% TUBO DE 30GR,,1, $27.00 , $162.00 
,300,5.16,16,2016-07-19,BOQUILLAS PARA ESPIROMETRO,,100, $516.00 ," $1,548.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
