FORMATO DE REQUISICI?N,,,,,,,,,,,,
,,,,,,,,,,,,
SME ,,,,,,,,,,,,
SME-100521K58,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,29-dic,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,MARCA,MODELO,DESCRIPCION,PRECIO REFERENCIA
,150,13.5,16,29/12/2015,MULTIDISCOS GRAM ( - ) C/50 BIO RAD,,,,,,,
,100,13.5,16,29/12/2015,MULTIDISCOS GRAM ( + ) C/50 BIO RAD,,,,,,,
,1500,2.25,16,29/12/2015,TUBOS VACUTAINER TAPON DORADO 6ML 13X100 BD,,,,,,,
,500,1.95,16,29/12/2015,TUBOS VACUTAINER TAPON AZUL 2.7ML,,,,,,,
,1500,1.55,16,29/12/2015,TUBOS VACUTAINER TAPON LILA 4ML,,,,,,,
