FORMATO DE REQUISICI…N,,,,,,,,,
CASA CHAPA,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
156,,,,,,08-feb-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
CASA CHAPA,,,,,,ALEJANDRO,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE
,28,0.97,0,10/02/2016,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG c/14,,,,
,30,4.84,0,10/02/2016,AMOXICLINA  C/ ACIDO  CLAVULANICO  875MG  TAB  ,,,,
,300,0.88,0,10/02/2016,GUANTES LATEX CHICOS CAJAS,,,,
,600,0.5,0,10/02/2016,CUBREBOCAS DESECHABLE  PAQUETE,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,TRIBEDOCE COMPUESTO TAB,,TRIBEDOCE COMPUESTO TAB,TRIBEDOCE COMPUESTO TAB
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,GUANTES DESECHABLES NO ESTERILES,,GUANTES DESECHABLES NO ESTERILES,GUANTES DESECHABLES NO ESTERILES
,,,,,,CURITAS REDONDOS CAJA C/100,,CURITAS REDONDOS CAJA C/100,CURITAS REDONDOS CAJA C/100
,,,,,,LYSOL DESINFECTANTE,,LYSOL DESINFECTANTE,LYSOL DESINFECTANTE
,,,,,,,,,
,,,,,,KLEENEX CJA,,KLEENEX CJA,KLEENEX CJA
,,,,,,JERINGAS 3ML,,JERINGAS 3ML,JERINGAS 3ML
,,,,,,JERINGAS 5 ML,,JERINGAS 5 ML,JERINGAS 5 ML
,,,,,,,,,
,,,,,,SABANAS DESECHABLES,,SABANAS DESECHABLES,SABANAS DESECHABLES
,,,,,,AGUJA (NARANJA),,AGUJA (NARANJA),AGUJA (NARANJA)
,,,,,,AGUJA (AMARILLA),,AGUJA (AMARILLA),AGUJA (AMARILLA)
,,,,,,SOLUCION FISIOLOGICA 100 ML,,SOLUCION FISIOLOGICA 100 ML,SOLUCION FISIOLOGICA 100 ML
,,,,,,LANCETAS ,,LANCETAS ,LANCETAS 
,,,,,,VENOPACK,,VENOPACK,VENOPACK
,,,,,,CREMA LUBRIDERM,,CREMA LUBRIDERM,CREMA LUBRIDERM
,,,,,,,,,
,,,,,,SOLUCION GLUCOSADA 50%,,SOLUCION GLUCOSADA 50%,SOLUCION GLUCOSADA 50%
,,,,,,GASA ESTERIL GRANDE,,GASA ESTERIL GRANDE,GASA ESTERIL GRANDE
,,,,,,GASA ESTERIL CHICA,,GASA ESTERIL CHICA,GASA ESTERIL CHICA
,,,,,,TIRAS REACTIVAS PARA COLESTEROL,,TIRAS REACTIVAS PARA COLESTEROL,TIRAS REACTIVAS PARA COLESTEROL
,,,,,,TIRAS REACTIVAS PARA TRIGLICERIDOS,,TIRAS REACTIVAS PARA TRIGLICERIDOS,TIRAS REACTIVAS PARA TRIGLICERIDOS
