,,,,FORMATO DE REQUISICI…N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
COTIZADO,,,,,,20-may-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
AGUASCALIENTES,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0044,10,21,16,01/06/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$210.00
MAT0075,100,0.576,16,01/06/2016,CURITAS REDONDAS,,,,$57.60
MAT0573,300,1.45,16,01/06/2016,JERINGA 3ML (22X32),,,,$435.00
MAT4016,1000,1.18,16,01/06/2016,GUANTES LATEX MEDIANOS ESTERIL,,,,"$1,180.00"
MAT4500,40,7.5,16,01/06/2016,NORMOGOTERO,,,,$300.00
MAT0047,3,37.2,16,01/06/2016,ALGODON PLIZADO 300GR,,,,$111.60
MAT0072,5,35,16,01/06/2016,ASEPTO JERINGA 60CC,,,,$175.00
MAT0157,10,16.5,16,01/06/2016,CAMPO PLANO ESTERIL 60X60,,,,$165.00
MAT0529,100,1.1627,16,01/06/2016,HOJA DE BISTURI NO. 20,,,,$116.27
MAT0614,10,40,16,01/06/2016,MASCARILLA O2 PEDIATRICA K-22 P C/RESERVORIO,,,,$400.00
MAT0633,24,11.25,16,01/06/2016,"MICROPORE 1""",,,,$270.00
MAT0668,10,22.5,16,01/06/2016,PILA AAA,,,,$225.00
MAT0745,30,31.5,16,01/06/2016,RASTRILLOS NO ESTERILIZADOS,,,,$945.00
MAT0753,1,55,16,01/06/2016,RECOLECTOR P/MATERIAL PUNZOCORANTE 3.7LTS,,,,$55.00
MAT0905,24,17.08,16,01/06/2016,"TELA ADHESIVA 1""X5MTS",,,,$409.92
MAT4074,6,431,16,01/06/2016,PINZA ALLIGATOR,,,,"$2,586.00"
MAT4490,10,31,16,01/06/2016,MASCARILLA O2 PEDIATRICA K-22 S/RESERVORIO,,,,$310.00
EQU016,3,285,16,01/06/2016,BAUMANOMETRO ANEROIDE ,,,,$855.00
EQU017,3,345,16,01/06/2016,ESTETOSCOPIO PEDIATRICO,,,,"$1,035.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$9,841.39"
,,,,,,,,,"$11,416.01"
