,,,,FORMATO DE REQUISICI?N,,,,
,,,,UBOLD,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,04-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,6000,3.75,16,22/03/2016,AGUJA P/INSULINA PLUMA 31GX8,,,"$22,500.00"
,120,121.25,0,22/03/2016,CAJA DE DIANEAL 4.25%,,,"$14,550.00"
,40,121.25,0,22/03/2016,CAJA DIANEAL AL 1.5%,,,"$4,850.00"
,36,115.28,16,22/03/2016,PREMILENE 2/0 45 C0090436-2,,,"$4,150.08"
,36,115.28,16,22/03/2016,PREMILENE 4-0 C0090676,,,"$4,150.08"
,36,115.28,16,22/03/2016,PREMILENE 6-0 45CM DS16 C0090211,,,"$4,150.08"
,34,115.28,16,22/03/2016,PREMILENE 1-0 75CM C0090053,,,"$3,919.52"
,2600,1.48,16,22/03/2016,JERINGA 5CC (22X32),,,"$3,848.00"
,24,115.28,16,22/03/2016,SILKAM 2-0 C0264460 ,,,"$2,766.72"
,15,105,16,22/03/2016,MEDIAS YARDAS HILO RADIOPACO,,,"$1,575.00"
,100,19.6,16,22/03/2016,STERI STRIP 0.63X7.6X7.6,,,"$1,960.00"
,3,4.73,16,22/03/2016,CATETER VENOSO CENTRAL 2 VIAS 7FRX20CM,,,$14.19
,12,115.28,16,22/03/2016,PREMILENE 5-0 45CM C0090675,,,"$1,383.36"
,12,115.28,16,22/03/2016,PREMILENE 6-0 45CM C0090428,,,"$1,383.36"
,60,22.92,16,22/03/2016,CROMICO 3-0 G122 (R2613-75)    ,,,"$1,375.00"
,24,39.17,16,22/03/2016,CROMICO 5-0 U202 (F1715-75),,,$940.00
,48,17.08,16,22/03/2016,"TELA ADHESIVA 1""X5MTS",,,$819.84
,10,68.5,16,22/03/2016,PARCHES  ACUACEL  ,,,$685.00
,2000,0.33,16,22/03/2016,CUBREBOCAS DESECHABLE,,,$666.66
,1,459,16,22/03/2016,MALLA TUBULAR NO. 6 ROLLO,,,$459.00
,340,1.17,16,22/03/2016,CONOS PARA OTOSCOPIO CHICO,,,$397.80
,12,23.08,16,22/03/2016,CROMICO 4-0 R2614-75,,,$276.96
,50,5.4,16,22/03/2016,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,$270.00
,1,265,16,22/03/2016,MALLA TUBULAR NO. 5 ROLLO,,,$265.00
,1,257,16,22/03/2016,MALLA TUBULAR NO. 4 ROLLO,,,$257.00
,15,13.5,16,22/03/2016,CANULA YANKAUER DESECHABLE,,,$202.50
,2,20,16,22/03/2016,TOALLITAS HUMEDAS SIN AROMA,,,$40.00
,10,3,16,22/03/2016,CONECTORES ANCHOS,,,$30.00
,10,3,16,22/03/2016,CONECTORES ANGOSTOS,,,$30.00
,5,5.8,16,22/03/2016,SONDA LEVIN NO. 16,,,$29.00
,5,5.8,16,22/03/2016,SONDA LEVIN NO. 18,,,$29.00
,5,5.8,16,22/03/2016,SONDA LEVIN NO. 20,,,$29.00
,5,5.2,16,22/03/2016,SONDA LEVIN NO. 14,,,$26.00
