,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
JULIO,,,,,,17-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
QUERETARO,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED1050,60,0.76,0,2016-07-17,BENZONATATO PERLAS,,,, $45.60 
MED0061,135,5,0,2016-07-17,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,, $675.00 
MED1085,5,226,0,2016-07-17,CLORURO DE ETILO SPRAY ,,,," $1,130.00 "
MED0119,75,4.7,0,2016-07-17,DIFENIDOL 40 MG/2ML SOL. INY.,,,, $352.50 
MED1041,130,10.33,0,2016-07-17,METAMIZOL 2.5GR/5ML AMP.,,,," $1,342.90 "
MED4468,120,0.541666667,0,2016-07-17,METFORMINA 250 MG C/30,,,, $65.00 
MAT4028,15,11.65,0,2016-07-17,HARTMAN 250ML,,,, $174.75 
MAT0009,13,18,0,2016-07-17,AGUA DE IRRIGACION 1LT,,,, $234.00 
MAT0209,10,11.65,0,2016-07-17,CLORURO DE SODIO 0.9% 250ML,,,, $116.50 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $4,136.25 "
,,,,,,,,," $4,798.05 "
