STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,
,2,225,16,2015-05-09,MOUSE LOGITECH 185,,,225,450,MAPLUSA
,47,26.85,16,2015-05-09,REGISTRADOR FORTEC CTA VDE. MARMOLEADO,,,26.85,1261.95,MAPLUSA
,17,33.12,16,2015-05-09,REGISTRADOR FORTEC OFI VDE. MARMOLEADO,,,33.12,563.04,MAPLUSA
,2,8.03,16,2015-05-09,CORRECTOR BIC BASE AGUA 20 ML. 506091,,,8.03,16.06,MAPLUSA
,1,14.34,16,2015-05-09,BLOCK MEMOTIP JANEL 2X2 CUBO NEON MINI 5,,,14.34,14.34,MAPLUSA
,2,10.74,16,2015-05-09,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,,,10.74,21.48,MAPLUSA
,50,1.28,16,2015-05-09,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,,,1.28,64,MAPLUSA
,150,0.36,16,2015-05-09,SOBRE FORTEC ANTE COIN NOMINA,,,0.36,54,MAPLUSA
,200,0.96,16,2015-05-09,SOBRE FORTEC TAMA¥O ESQUELA,,,0.96,192,MAPLUSA
,,,,,,,,,2636.87,
,,,,,,,,," $3,058.77 ",
