,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,28-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MAT0002,175,0.18,BENEFIC,2016-08-16,ABATELENGUAS C/25,,,, $31.50 
MAT0502,50,2.95,BENEFIC,2016-08-16,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,, $147.50 
MAT0633,12,10.83,BENEFIC,2016-08-16,"MICROPORE 1""",,,, $129.96 
MAT4541,7,30,BENEFIC,2016-08-16,JABON QUIRURGICO 120 ML,,,, $210.00 
MAT4548,7,49,BENEFIC,2016-08-16,LAMPARA DE BOLSILLO TIPO LED,,,, $343.00 
MAT0002,25,0.18,BENEFIC,2016-08-16,ABATELENGUAS C/25,,,, $4.50 
MAT0633,15,10.83,BENEFIC,2016-08-16,"MICROPORE 1""",,,, $162.45 
EQU038,14,53,BENEFIC,2016-08-16,TERMOMETRO DIGITAL,,,, $742.00 
MAT4594,16,6.5,BENEFIC,2016-08-16,ALCOHOL 110 ML,,,, $104.00 
MAT0738,3,6.8,BENEFIC,2016-08-16,PUNTAS NASALES,,,, $20.40 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
