,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,,
MAT0090,2,52,16,19/05/2016,BOLSA DE TORUNDAS DE ALGODON,,1,,
MAT0518,100,0.97,16,19/05/2016,GUANTES LATEX MEDIANOS NO ESTERIL,,100,,
MAT0570,100,2.25,16,19/05/2016,JERINGA 10CC (22X32),,100,,
MAT0573,300,1.45,16,19/05/2016,JERINGA 3ML (22X32),,100,,
MAT1012,36,5.5,16,19/05/2016,VENDA ELASTICA 10CMX4.5MTS,,1,,
MAT1013,25,8.5,16,19/05/2016,VENDA ELASTICA 15CM,,1,,
MAT1016,36,3.5,16,19/05/2016,VENDA ELASTICA 5CMX4.5MTS,,1,,
MAT0059,2,62.8,16,19/05/2016,ANTIBENZIL SOL. JABON,,1,,
MAT0157,20,16.5,16,19/05/2016,CAMPO PLANO ESTERIL 60X60,,10,,
MAT0368,200,2.7,16,19/05/2016,ELECTRODOS PARCHE,,100,,
MAT0631,5,27.6,16,19/05/2016,MICRONEBULIZADORES 2434,,1,,
MAT0669,8,45,16,19/05/2016,"PILA ""C""",,2,,
MAT0734,1,790,16,19/05/2016,PULSOXIMETRO   ,,1,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
