STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,ACIDO TRANSRETINOICO 10MG C/100 CAP.,2941,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,ALFA-DORNASA 2.5MG/2.5ML C/6 AMP.,2312,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,BUDESONIDA 3MG C/50 CAP.,2904,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,CEREBROLISINA 10MG AMP.,2981,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,DARBEPOETINA ALFA 300MCG JER. PRELLENADA,2984,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,DEXTRANOMERO FCO. C/25GR,1507,,,,,,,,,,,,,,,,,,,
,10,0,0,2016-08-11,DICLOFENACO + CODEINA 50MG/50MG C/20 TAB.,2960,,,,,,,,,,,,,,,,,,,
,0,0,0,2016-08-11,ELECTROLITOS ORALES SOL. GLUCOSA 20GR C/25 SOBRES,328,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,ENFAMIL SOYA FORMULA LACTEA LATA PVO 400GR,2584,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,ESTOLATO DE ERITROMICINA 125MG SUSP. PED. C/100ML,1906,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,FACTOR VIII FCO. 250UI AMP. ,2888,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,FORMULA LACTEA DE CONTINUACION DE 6 A 12 (ETAPA 2) LATA C/400GR,2740,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,GLICEROL SUP. PED. C/10,331,,,,,,,,,,,,,,,,,,,
,2,0,0,2016-08-11,HALOPERIDOL 5MG C/20 TAB.,584,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,HALOPERIDOL 10MG C/20 TAB.,1421,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,INMUNOGLOBULINA G HUMANA 5GR/120ML,2917,,,,,,,,,,,,,,,,,,,
,10,0,0,2016-08-11,KETOROLACO 10MG C/10 TAB.,1202,,,,,,,,,,,,,,,,,,,1
,1,0,0,2016-08-11,LAMIVUDINA 150MG C/60 TAB.,994,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,MEBENDAZOL SUSP. FCO. C/30ML,2626,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,METRONIDAZOL 2.5GR SUSP. C/120ML,2628,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,NILOTIMIB 200MG C/28 CAP.,2936,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,PALIPERIDONA 6MG C/14 TAB.,1939,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,PALIPERIDONA 75MG C/1 JER. PRELLENADA,2934,,,,,,,,,,,,,,,,,,,
,2,0,0,2016-08-11,POLICRESULENO 0.09 GR C/6 OVULOS,12,,,,,,,,,,,,,,,,,,,
,5,0,0,2016-08-11,RIFAMPICINA + ISONIASIDA 200MG/150MG C/24 CAP.,732,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,RITONAVIR 100MG 2 FCO. C/84 CAP. ,2387,,,,,,,,,,,,,,,,,,,
,1,0,0,2016-08-11,TIPRANAVIR 250MG C/120 CAP.,3007,,,,,,,,,,,,,,,,,,,
