,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,1,537.35,16,2016-09-09,ACEITE LUBRICANTE (PANASPRAY),,,, $537.35 
,25,314.71,16,2016-09-09,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,,,," $7,867.75 "
,1,15596.66,16,2016-09-09,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,," $15,596.66 "
,30,504.99,0,2016-09-09,ANESTESIA AL 2%,,,," $15,149.70 "
,5,504.99,0,2016-09-09,ANESTESIA AL 3%,,,," $2,524.95 "
,4,670,16,2016-09-09,BOLSAS DESECHABLES PARA PLACAS DENTAL NO. 2,,,," $2,680.00 "
,5,383.9,16,2016-09-09,BOQUILLAS PARA FLORURO GRANDES SULTAN,,,," $1,919.50 "
,20,82.4,16,2016-09-09,CORONA DE ACERO CANINO U2 907042 3M,,,," $1,648.00 "
,9,82.4,16,2016-09-09,CORONA DE ACERO CENTRAL UR3 907013 3M,,,, $741.60 
,16,82.4,16,2016-09-09,CORONA DE ACERO MOLAR DER D-LR-4 3M,,,," $1,318.40 "
,20,82.4,16,2016-09-09,CORONA DE ACERO MOLAR DER D-LR-5 3M,,,," $1,648.00 "
,8,82.4,16,2016-09-09,CORONA DE ACERO MOLAR IZQ E-LL-3 3M,,,, $659.20 
,5,109.57,16,2016-09-09,FLORURO EN FORMA DE GEL BOTE C/480ML,,,, $547.85 
,100,20.09,16,2016-09-09,FRESA BASTAGO LARGO P/CIRUGIA NO. 702 JET,,,," $2,009.00 "
,20,23.81,16,2016-09-09,FRESA CARBURO BOLA NO. 4,,,, $476.20 
,68,23.81,16,2016-09-09,FRESA CARBURO PERA NO. 330,,,," $1,619.08 "
,20,23.81,16,2016-09-09,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 331,,,, $476.20 
,80,20.65,16,2016-09-09,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,,,," $1,652.00 "
,40,40.18,16,2016-09-09,FRESA DIAMANTE NO. 1062 TF11,,,," $1,607.20 "
,3,78.12,16,2016-09-09,FRESA QUIRURGICA 151-Z MANO ALTA MANGO DORADO ZECRYA,,,, $234.36 
,20,43.9,16,2016-09-09,FRESAS ARKANSAS ALTA VEL. FORMA DE FLAMA,,,, $878.00 
,16,40.18,16,2016-09-09,FRESAS FORMA LLANTA,,,, $642.88 
,1,14.48,16,2016-09-09,GODETES DE CRISTAL,,,, $14.48 
,2,1095.73,16,2016-09-09,"KIT DE SELLADORES 3M, JERINGAS, SELLADOR, ACIDO Y SINGLE BOND",,,," $2,191.46 "
,8,45.39,16,2016-09-09,OXIDO DE ZINC DENTSPLY,,,, $363.12 
,1,621.98,16,2016-09-09,PASTA PROFILACTICA CON FLORURO BOTE DE 360GR SULTAN,,,, $621.98 
,1,554.65,16,2016-09-09,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,,, $554.65 
,4,699.36,16,2016-09-09,SOL. DESINFECTANTE Y ESTERILIZANTE SPOROX II GALON,,,," $2,797.44 "
,1,279.19,16,2016-09-09,SOL. PARA LIMPIAR EL AUTOCLAVE SPEED CLEAN MIDMARCK,,,, $279.19 
,3,328.38,16,2016-09-09,TOALLAS INTERDOBLADA SURTIDA,,,, $985.14 
,3,473.56,16,2016-09-09,VASOS DESECHABLES,,,," $1,420.68 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
