,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,04-oct-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2000,1.6,16,2016-10-04,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,," $3,200.00 "
,10,84,16,2016-10-04,ANTIGENO BRUCELLA FCO. 5ML,,,, $840.00 
,10,84,16,2016-10-04,ANTIGENO PROTEUX OX-19 FCO. 5ML,,,, $840.00 
,100,2.5,16,2016-10-04,BACITRACINA FCO. C/50 DISCOS BIO RAD,,,, $250.00 
,4000,0.26,16,2016-10-04,CUBREOBJETOS 22X22,,,," $1,040.00 "
,500,9.42,16,2016-10-04,PLACA D/AGAR MUELLER-HINTON,,,," $4,710.00 "
,100,11.81,16,2016-10-04,PLACA D/AGAR SAL-MANITOL,,,," $1,181.00 "
,400,10.92,16,2016-10-04,PLACA DE AGAR EMB,,,," $4,368.00 "
,20,11.92,16,2016-10-04,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,, $238.40 
,200,14.98,16,2016-10-04,PLACA DE AGAR SANGRE,,,," $2,996.00 "
,400,14.98,16,2016-10-04,PLACA DE AGAR SANGRE CON AZIDA,,,," $5,992.00 "
,20,11.92,16,2016-10-04,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,, $238.40 
,800,0.47,16,2016-10-04,PORTA OBJETOS C/50 CORNIN,,,, $376.00 
,600,3.8,16,2016-10-04,PRUEBA DE EMBARAZO DE 200 MU/MI,,,," $2,280.00 "
,300,240.24,16,2016-10-04,PRUEBA RAPIDA  VIRUS DENGUE  NSI ,,,," $72,072.00 "
,25,139.97,16,2016-10-04,REACTIVO ANTIDOPING MULTIDROGAS 8 PRUEBAS VASO,,,," $3,499.25 "
,1200,28.44,16,2016-10-04,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,," $34,128.00 "
,50,233.28,16,2016-10-04,REACTIVO PARA INFLUENZA A Y B,,,," $11,664.00 "
,1400,3.24,16,2016-10-04,RPR CAJA C/200 PRUEBAS,,,," $4,536.00 "
,60,12.6,16,2016-10-04,TUBOS DE AGAR  MIO ,,,, $756.00 
,80,12.6,16,2016-10-04,TUBOS DE AGAR CITRATO DE SIMONS,,,," $1,008.00 "
,80,12.6,16,2016-10-04,TUBOS DE AGAR LIA,,,," $1,008.00 "
,80,12.6,16,2016-10-04,TUBOS DE AGAR SIM,,,," $1,008.00 "
,80,12.6,16,2016-10-04,TUBOS DE AGAR TSI,,,," $1,008.00 "
,4000,1.6,16,2016-10-04,TUBOS VACUTAINER TAPON LILA 4ML,,,," $6,400.00 "
,,,,,,,,SUBTOTAL," $165,637.05 "
,,,,,,,,IVA," $26,501.93 "
,,,,,,,,TOTAL," $192,138.98 "
,,,,,,,,,
