,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
A4,,,,,,20-may-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS REZA  ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,sugerido,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,40,12.7,Ubold,2016-05-23,CEPILLO QUIRURGICO PCMX,,,, $508.00 
,36,115.28,Ubold,2016-05-23,MONOSYN QUICK 3-0 C0025043,,,," $4,150.08 "
,12,115.28,Ubold,2016-05-23,SAFIL 2-0 C1048042 HR26 AGUJA REDONDA,,,," $1,383.36 "
,12,115.28,Ubold,2016-05-23,SAFIL 3/0 19MM / 70CM C1049421 C,,,," $1,383.36 "
,12,115.28,Ubold,2016-05-23,SAFIL 4-0 19MM / 45CM C1048420 C,,,," $1,383.36 "
,12,115.28,Ubold,2016-05-23,SAFIL 5-0 19MM / 45CM C1048219 C,,,," $1,383.36 "
,36,115.28,Ubold,2016-05-23,SILKAM 4-0 HR26 C0760404,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,MONOSYN QUICK 4-0 C0025029,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,SAFIL QUICK 6-0 C1046607,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,MONOSYN QUICK 5-0,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,MONOSYN QUICK 6-0,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,SAFIL QUICK 5-0 REF 1046619,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,SAFIL QUICK 3-0 C1046235 70 CM,,,," $4,150.08 "
,36,19,Ubold,2016-05-23,MONOSYN 3-0 70 CM CORTANTE C0023215,,,, $684.00 
,36,115.28,Ubold,2016-05-23,SAFIL QUICK 4-0 REF 1046220,,,," $4,150.08 "
,36,115.28,Ubold,2016-05-23,SAFIL 3-0 24MM / 70CM C1048235 C,,,," $4,150.08 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $48,226.24 "
,,,,,,,,," $7,716.20 "
,,,,,,,,," $55,942.44 "
