,,,,FORMATO DE REQUISICI?N,,,,
,,,,UBOLD,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,05-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,5,13.92,16,22/03/2016,AGUJA STIMUPLEX 0.55X25MM,,,$69.60
,5,13.92,16,22/03/2016,AGUJA STIMUPLEX 0.70X50MM,,,$69.60
,5,13.92,16,22/03/2016,AGUJA STIMUPLEX 0.80X100MM,,,$69.60
,120,12.7,16,22/03/2016,CEPILLO QUIRURGICO PCMX,,,"$1,524.00"
,24,115.28,16,22/03/2016,SAFIL 3/0 19MM / 70CM C1049421 C,,,"$2,766.72"
,24,115.28,16,22/03/2016,SAFIL 4-0 19MM / 45CM C1048420 C,,,"$2,766.72"
,36,115.28,16,22/03/2016,SAFIL 5-0 19MM / 45CM C1048219 C,,,"$4,150.08"
,4,271.25,16,22/03/2016,TAPETES SELLADORES QUIRURGICOS,,,"$1,085.00"
,24,147.08,16,22/03/2016,VICRYL 0 AGUJA SH J318 (R2691-75),,,"$3,529.92"
,24,147.08,16,22/03/2016,VICRYL 0 AGUJA SH J340 (G3791),,,"$3,529.92"
,24,143.33,16,22/03/2016,VICRYL 1 AGUJA CT1 J341 (G3798),,,"$3,439.92"
,24,73.61,16,22/03/2016,VICRYL 3-0 AGUJA SH J311 (R2693),,,"$1,766.64"
,72,115.28,16,22/03/2016,MONOSYN QUICK 4-0 C0025029,,,"$8,300.16"
,72,115.28,16,22/03/2016,MONOSYN QUICK 5-0,,,"$8,300.16"
,72,115.28,16,22/03/2016,SAFIL QUICK 6-0 C1046607,,,"$8,300.16"
,15,117,16,22/03/2016,CATETER  PERIFIX  #18 ,,,"$1,755.00"
,72,115.28,16,22/03/2016,MONOSYN 3-0 70 CM CORTANTE C0023215,,,"$8,300.16"
,72,115.28,16,22/03/2016,SAFIL QUICK 3-0 C1046235 70 CM,,,"$8,300.16"
,72,115.28,16,22/03/2016,SAFIL QUICK 5-0 REF 1046619,,,"$8,300.16"
,72,115.28,16,22/03/2016,SAFIL QUICK 4-0 REF 1046220,,,"$8,300.16"
,,,,,,,,
,,,,,,,,"$84,623.84"
,,,,,,,,"$13,496.41"
,,,,,,,,"$98,120.25"
