,,,,FORMATO DE REQUISICI?N,,
,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,18-jul-16
DESTINO:,,,,,,ELABORADO POR:
,,,,,,ARTURO HEREDIA
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,200,0.91,16,19/07/2016,BOLSA ROJA,
,4,70,16,19/07/2016,GASA S/ESTERILIZAR BOLSA 10X10,
,1000,1.32,16,19/07/2016,LANCETAS P/GLUCOMETRO (ACCU CHECK PERFORMA),
,12,11.25,16,19/07/2016,"MICROPORE 1""",
,1000,0.672,16,19/07/2016,GUANTES LATEX MEDIANOS NO ESTERIL,
,100,4.5,16,19/07/2016,GUANTES CAUCHO NO. 7 USO CIRUGIA,
,100,4.5,16,19/07/2016,GUANTES CAUCHO NO. 8 USO CIRUGIA,
,400,0.98,16,19/07/2016,GUANTES LATEX MEDIANOS ESTERIL,
,400,0.85,16,19/07/2016,GASA SECA ESTêERIL 10X10,
,2,195,16,19/07/2016,ISODINE ESPUMA GALON,
,400,5.9,16,19/07/2016,JELCO NO. 22,
