,,,,FORMATO DE REQUISICION,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,22-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA HERNANDEZ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,850, $-   ,,,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,
,320, $-   ,,,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,
,960, $-   ,,,PREGABALINA 75MG C/28 CAP.,512,,,
,210, $-   ,,,METFORMINA 1GR C/30 TAB.,2872,,,
,980, $-   ,,,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,
,420, $-   ,,,VALSARTAN 160MG C/30 GRAGEAS,1767,,,
,420, $-   ,,,DIACEREINA 50MG C/30 CAP.,226,,,
,620, $-   ,,,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440,,,
,1020, $-   ,,,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,,,
,280, $-   ,,,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,
,840, $-   ,,,SENOSIDOS A-B 374MG C/30 TAB.,789,,,
,530, $-   ,,,MELOXICAM 7.5MG C/14 TAB.,2623,,,
,250, $-   ,,,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,
,160, $-   ,,,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,
,220, $-   ,,,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,,,
,210, $-   ,,,FOSFATO SODICO DE DEXAMETASONA 4MG/ML C/1 AMP. DE 2ML,2853,,,
,125, $-   ,,,ENALAPRIL 5MG C/30 TAB.,1513,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
