,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,1000,0,0,2016-06-13,OMEPRAZOL 20MG C/14 CAP.,657
,800,0,0,2016-06-13,PANTOPRAZOL 40MG C/14 GRAGEAS,1479
,800,0,0,2016-06-13,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919
,600,0,0,2016-06-13,AMLODIPINO 5MG C/10 TAB.,2593
,600,0,0,2016-06-13,ATORVASTATINA 20MG C/10 TAB.,2761
,500,0,0,2016-06-13,PARACETAMOL 500MG C/10 TAB.,712
,500,0,0,2016-06-13,METFORMINA 850MG C/30 TAB.,1897
,450,0,0,2016-06-13,ATORVASTATINA 10MG C/20 TAB.,2762
,400,0,0,2016-06-13,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797
,400,0,0,2016-06-13,PARACETAMOL 1GR C/20 TAB.,810
,300,0,0,2016-06-13,AMBROXOL SOL. ORAL FCO. C/120ML,22
,300,0,0,2016-06-13,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000UI + 1 AMP. DILUYENTE C/2ML",687
,300,0,0,2016-06-13,FLUCONAZOL 150MG C/1 CAP.,373
,300,0,0,2016-06-13,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647
,300,0,0,2016-06-13,METFORMINA 500MG C/30 TAB.,310
,300,0,0,2016-06-13,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769
,300,0,0,2016-06-13,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376
,300,0,0,2016-06-13,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304
,300,0,0,2016-06-13,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576
,300,0,0,2016-06-13,PREGABALINA 75MG C/28 CAP.,512
