,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,30,3.41,0,27/10/2016,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,24,220.09,0,27/10/2016,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,
,1,333.12,0,27/10/2016,BETAMETASONA LOCION FCO. SUSP. C/100ML,119,,,
,64,457,0,27/10/2016,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,
,91,180,0,27/10/2016,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,
,8,245.58,0,27/10/2016,CLINDAMICINA 75MG/5ML FCO. GRANULADO PARA 100ML,260,,,
,49,8.57,0,27/10/2016,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,2726,,,
,3,34.7,0,27/10/2016,CLORHIDRATO DE TRAMADOL 100MG C/10 TAB.,855,,,
,37,75.02,0,27/10/2016,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,
,158,121.98,0,27/10/2016,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,
,29,644.54,0,27/10/2016,DIPROPINATO DE BETAMETASONA + CALCIPOTRIOL 5MG/50MG TUBO UNGšENTO C/30GR,1026,,,
,17,7559.1,0,27/10/2016,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,
,56,395,0,27/10/2016,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,
,33,478.8,0,27/10/2016,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,
,30,602.1,0,27/10/2016,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,,,
,7,222.73,0,27/10/2016,FENOBARBITAL 100MG C/40 TAB. (II),579,,,
,6,324.21,0,27/10/2016,FLUTICASONA 50MCG SPRAY C/120 DOSIS ,2491,,,
,13,470.34,0,27/10/2016,GLIBENCLAMIDA + METFORMINA 5MG/1000MG C/40 TAB.,790,,,
,225,505.88,0,27/10/2016,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,
,47,365.64,0,27/10/2016,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,624,,,
,39,331.52,0,27/10/2016,INDOMETACINA 50MG C/28 CAP.,525,,,
,193,245.18,0,27/10/2016,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,,,
,83,1138.87,0,27/10/2016,LEFLUNOMIDA 20MG C/30 COMP.,34,,,
,340,154.48,0,27/10/2016,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,
,232,6.88,0,27/10/2016,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,
,154,176.39,0,27/10/2016,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,
,148,74.65,0,27/10/2016,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,
,26,44.29,0,27/10/2016,ONDANSETRON 8MG C/10 TAB.,2843,,,
,9,501.73,0,27/10/2016,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,1481,,,
,25,1221,0,27/10/2016,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,
,61,634.65,0,27/10/2016,SALMETEROL + FLUTICASONA 25/125 FCO.,2468,,,
,39,584.37,0,27/10/2016,SALMETEROL + FLUTICASONA 50/100MCG SOL. INHAL C/60 DOSIS,2493,,,
,6,4000,0,27/10/2016,SIROLIMUS 1MG C/60 GRAGEAS,743,,,
,1,2343.33,0,27/10/2016,TACROLIMUS 1MG LIB.PROL. C/50 TAB. ,3004,,,
,109,20.27,0,27/10/2016,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO N§1 - 3 Y N§ - 3 C/JGA AMP.,2803,,,
,1,4157.61,0,27/10/2016,TOXINA BOTULINICA TIPO-A 100MG C/1 AMP.,935,,,
,47,143.5,0,27/10/2016,VALPROATO DE MAGNESIO 400MG C/20 TAB.,71,,,
