,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,07-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
FARMACIA AR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,7,38.5,16,2016-11-07,FERULA PARA DEDO TIPO RANA CHICA,,1, $38.50 , $269.50 
,7,38.5,16,2016-11-07,FERULA PARA DEDO TIPO SOMBRILLA MEDIANA,,1, $38.50 , $269.50 
,2,51,16,2016-11-07,CABESTRILLO GRANDE,,1, $51.00 , $102.00 
,2,156.7,16,2016-11-07,INMOVILIZADOR DE HOMBRO UNIVERSAL,,1, $156.70 , $313.40 
,2,155,16,2016-11-07,RODILLERA ABIERTA UNIVERSAL,,1, $155.00 , $310.00 
,2,620,16,2016-11-07,RODILLERA C/REFUERZOS  LATERAL  MED  ,,1, $620.00 ," $1,240.00 "
,2,51,16,2016-11-07,CABESTRILLO MEDIANO,,1, $51.00 , $102.00 
,2,39.7,16,2016-11-07,COLLAR CERVICAL UNIVERSAL,,1, $39.70 , $79.40 
,2,153.4,16,2016-11-07,FERULA FISIOLOGICA PARA MUNECA MANO DER UNIVERSAL,,1, $153.40 , $306.80 
,2,153.4,16,2016-11-07,FERULA FISIOLOGICA PARA MUNECA MANO IZQ UNIVERSAL,,1, $153.40 , $306.80 
,2,125,16,2016-11-07,MUNEQUERA CON PULGAR LIBRE,,1, $125.00 , $250.00 
,2,572,16,2016-11-07,"FERULA PARA RODILLA TRIPANEL 16""",,1, $572.00 ," $1,144.00 "
,2,572,16,2016-11-07,"FERULA PARA RODILLA TRIPANEL 20""",,1, $572.00 ," $1,144.00 "
,1,55,16,2016-11-07,COLLAR CERVICAL INFANTIL MED,,1, $55.00 , $55.00 
,1,332,16,2016-11-07,FAJA LUMBOSACRA GRANDE,,1, $332.00 , $332.00 
,1,332,16,2016-11-07,FAJA LUMBOSACRA MEDIANA,,1, $332.00 , $332.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL," $6,556.40 "
,,,,,,,,IVA," $1,049.02 "
,,,,,,,,TOTAL," $7,605.42 "
,,,,,,,,,
