,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,
,8,43,16,2016-07-04,REPUESTO AROMATIZANTE WIESE 191 G,, $344.00 ,SG,,
,1,140,16,2016-07-04,DETERGENTE EN POLVO 9 KG,, $140.00 ,SG,,
,7,22,16,2016-07-04,LIMPIADOR MULTIUSOS GENERICO,, $154.00 ,SG,,
,5,153,16,2016-07-04,HIG. 700527 180 MTS TORK C/12 ROLLOS,, $765.00 ,SG,,
,1,35,16,2016-07-04,JABON PARA MANOS LIQUIDO GENERICO,, $35.00 ,SG,,
,5,124,16,2016-07-04,TOALLA 700444 INTER TORK BLANCA C/2000,, $620.00 ,SG,,
,,,,,,," $2,058.00 ",,,
,,,,,,," $2,387.28 ",TOTAL NETO,,
