,,,,FORMATO DE REQUISICIŒN,,
,,,,UBOLD,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,
DESTINO:,,,,,,ELABORADO POR:
SAINAR CLINICA,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,300,1.48,0,09/03/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,
,200,18.5,0,09/03/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,
,300,4.83,0,09/03/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,
,20,31.5,0,09/03/2016,CEFTRIAXONA 1G/10ML SOL. INY.,
,700,5.75,0,09/03/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,
,20,53,0,09/03/2016,HIDROCORTISONA 500MG AMP.,
,20,35,0,09/03/2016,HIDROCORTISONA 100MG AMP.,
,3,32.5,0,09/03/2016,SALBUTAMOL 100MCG SPRAY,
,1000,0.65,0,09/03/2016,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,
,130,0.8,0,09/03/2016,LORATADINA 10MG GRAGEAS,
,2,18,0,09/03/2016,OXIMETAZOLINA SOL. NASAL 50 MG FCO. NEB.,
,120,0.33,0,09/03/2016,DIFENIDOL 25MG TAB.,
,50,38.2,0,09/03/2016,CLOROPIRAMINA 20MG AMP.,
,200,21,0,09/03/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,
,150,0.33,0,09/03/2016,DIFENIDOL 25MG TAB.,
,150,0.19,0,09/03/2016,CAPTOPRIL 25MG TAB.,
