FORMATO DE REQUISICI‡N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,4,389,0,2016-01-18,AGUA INY. 10 ML. C/100 AMP.,,,,"$1,556.00"
,4,349.9,0,2016-01-18,AGUA INY. 5 ML. C/100 AMP.,,,,"$1,399.60"
,39,1260,0,2016-01-18,CAJA DE DIANEAL 1.5 % C/TAPON C/8 PZAS,,,,"$49,140.00"
,48,1260,0,2016-01-18,CAJA DE DIANEAL 2.5 % C/TAPON C/8 PZAS,,,,"$60,480.00"
,37,1260,0,2016-01-18,CAJA DE DIANEAL 4.25 % C/TAPON C/8 PZAS,,,,"$46,620.00"
,280,15,0,2016-01-18,CLORURO DE SODIO 0.9 % 250 ML.,,,,"$4,200.00"
,230,18,0,2016-01-18,CLORURO DE SODIO 0.9 % 500 ML.,,,,"$4,140.00"
,125,14,0,2016-01-18,CLORURO DE SODIO AL 9% ENV. 100 ML,,,,"$1,750.00"
,217,18,0,2016-01-18,GLUCOSA 5% 500ML.,,,,"$3,906.00"
,287,27,0,2016-01-18,GLUCOSADO AL 10% 500 ML.,,,,"$7,749.00"
,125,15,0,2016-01-18,HARTMAN 250 ML.,,,,"$1,875.00"
,159,18,0,2016-01-18,HARTMAN 500 ML,,,,"$2,862.00"
,105,21,0,2016-01-18,HARTMAN 1000 ML,,,,"$2,205.00"
,318,11.87,0,2016-01-18,SOLUCION CS INY. 100 ML. MINIOVAL,,,,"$3,774.66"
,347,20.62,0,2016-01-18,SOLUCION CS INY. FLEXOVAL 1000 ML.,,,,"$7,155.14"
,280,14,0,2016-01-18,SOLUCION CS INY. PLAS 250 ML,,,,"$3,920.00"
,197,20.62,0,2016-01-18,SOLUCION HT. INY. FLEXOVAL 1000 ML.,,,,"$4,062.14"
,237,14,0,2016-01-18,SOLUCION HT. INY. PLAST 250 ML.,,,,"$3,318.00"
,186,17.62,0,2016-01-18,SOLUCION HT. INY. PLAST 500 ML.,,,,"$3,277.32"
,215,17.62,0,2016-01-18,SOLUCION DX-CS MIXTA INY. 500 ML.,,,,"$3,788.30"
