FORMATO DE REQUISICI…N,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
,,,,,,02-nov-16,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
,,,,,,ARTURO HEREDIA,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,,
,13,728,16,09/11/2016,BOTA WALKER CHICA,,,,"$9,464.00",1230.32,"$10,694.32"
,10,728,16,09/11/2016,BOTA WALKER GRANDE,,,,"$7,280.00",946.4,"$8,226.40"
,23,728,16,09/11/2016,BOTA WALKER MEDIANO,,,,"$16,744.00",2176.72,"$18,920.72"
,15,51,16,09/11/2016,CABESTRILLO GRANDE,,,,$765.00,99.45,$864.45
,10,51,16,09/11/2016,CABESTRILLO INFANTIL MED,,,,$510.00,66.3,$576.30
,10,51,16,09/11/2016,CABESTRILLO MEDIANO,,,,$510.00,66.3,$576.30
,70,39.7,16,09/11/2016,COLLAR CERVICAL UNIVERSAL,,,,"$2,779.00",361.27,"$3,140.27"
,10,332,16,09/11/2016,FAJA LUMBOSACRA CHICA,,,,"$3,320.00",431.6,"$3,751.60"
,5,332,16,09/11/2016,FAJA LUMBOSACRA EXTRA GRANDE,,,,"$1,660.00",215.8,"$1,875.80"
,25,332,16,09/11/2016,FAJA LUMBOSACRA GRANDE,,,,"$8,300.00",1079,"$9,379.00"
,25,332,16,09/11/2016,FAJA LUMBOSACRA MEDIANA,,,,"$8,300.00",1079,"$9,379.00"
,20,153.4,16,09/11/2016,FERULA FISIOLOGICA PARA MUNECA MANO DER UNIVERSAL,,,,"$3,068.00",398.84,"$3,466.84"
,10,572,16,09/11/2016,"FERULA PARA RODILLA TRIPANEL 16""",,,,"$5,720.00",743.6,"$6,463.60"
,10,572,16,09/11/2016,"FERULA PARA RODILLA TRIPANEL 20""",,,,"$5,720.00",743.6,"$6,463.60"
,40,155,16,09/11/2016,RODILLERA ABIERTA UNIVERSAL,,,,"$6,200.00",806,"$7,006.00"
,5,62,16,09/11/2016,TOBILLERA ELASTICA CHICA,,,,$310.00,40.3,$350.30
,5,69,16,09/11/2016,TOBILLERA ELASTICA GRANDE,,,,$345.00,44.85,$389.85
,5,69,16,09/11/2016,TOBILLERA ELASTICA MEDIANA,,,,$345.00,44.85,$389.85
,7,337,16,09/11/2016,ZAPATO PARA YESO GRANDE,,,,"$2,359.00",306.67,"$2,665.67"
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,, $-   ,,
,,,,,,,,SUBTOTAL,"$83,699.00",,
,,,,,,,,IVA,"$13,391.84",,
,,,,,,,,TOTAL,"$97,090.84",,
