STOCK ID|CANTIDAD|PRECIO|IMPUESTO|FECHA|DESCRIPCION AGRUPADOR|ID AGRUPADOR|UNIDAD EMPAQUE|PRECIO UNIDAD EMPAQUE
|14|0|0|2015-09-10|5 FLUOROURACILO CREMA DE 5% TUBO C/20GR|2759|0|0
|156|0|0|2015-09-10|5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.|446|0|0
|396|0|0|2015-09-10|ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR|1550|0|0
|2|0|0|2015-09-10|ACEITE DE RICINO FCO. C/60ML|2684|0|0
|24|0|0|2015-09-10|ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES|280|0|0
|5|0|0|2015-09-10|ACETAZOLAMIDA 250MG C/30 TAB.|3|0|0
|24|0|0|2015-09-10|ACETONIDO DE FLUOCINOLONA + CLIOQUINOL TUBO CREMA C/30GR|2766|0|0
|89|0|0|2015-09-10|ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS|53|0|0
|77|0|0|2015-09-10|ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML|775|0|0
|12|0|0|2015-09-10|ACETONIDO DE FLUOCINOLONA TUBO C/30GR|511|0|0
|118|0|0|2015-09-10|ACICLOVIR 200MG/5ML FCO. C/120ML|501|0|0
|54|0|0|2015-09-10|ACICLOVIR 400MG C/35 COMP.|545|0|0
|6|0|0|2015-09-10|ACICLOVIR COMPRIMIDOS 200MG C/25 COMP.|1424|0|0
|41|0|0|2015-09-10|ACICLOVIR TUBO CREMA C/5GR|2607|0|0
|2|0|0|2015-09-10|ACICLOVIR UNG?ENTO OFTALMICO 3GR EN 100GR TUBO C/4.5GR|2767|0|0
|1375|0|0|2015-09-10|ACIDO ACETILSALICILICO 100MG C/30 TAB.|2769|0|0
|7|0|0|2015-09-10|ACIDO ACETILSALICILICO 500MG C/20 TAB.|2768|0|0
|18|0|0|2015-09-10|ACIDO ACEXAMICO + NEOMICINA UNG?ENTO 5GR/0.4GR EN 100GR TUBO C/40GR|727|0|0
|2|0|0|2015-09-10|ACIDO ACEXAMICO 5GR/100GR UNG?ENTO TUBO C/40GR|726|0|0
|20|0|0|2015-09-10|ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.|2772|0|0
"|9|0|0|2015-09-10|""ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A|C|D SOL. GOTAS C/15ML""|2770|0|0"
|6|0|0|2015-09-10|ACIDO ASCORBICO 500MG C/100 TAB.|175|0|0
|367|0|0|2015-09-10|ACIDO FOLICO 5MG C/50 TAB.|52|0|0
|83|0|0|2015-09-10|ACIDO IBANDRONICO 150MG C/1 COMP.|1154|0|0
|26|0|0|2015-09-10|ACIDO MEFENAMICO 500MG C/20 TAB.|2773|0|0
|104|0|0|2015-09-10|ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.|2775|0|0
|9|0|0|2015-09-10|ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR|879|0|0
|49|0|0|2015-09-10|ACIDO RETINOICO TUBO CREMA C/20GR|1432|0|0
|83|0|0|2015-09-10|ACIDO TIAPROFENICO 300MG C/30 COMP.|772|0|0
|118|0|0|2015-09-10|ACIDO TIOCTICO 600MG C/30 TAB.|848|0|0
|182|0|0|2015-09-10|ACIDO URSODESOXICOLICO 250MG C/50 CAP.|861|0|0
|16|0|0|2015-09-10|ACIDO VALPROICO 250MG C/30 CAP.|264|0|0
|70|0|0|2015-09-10|ACIDO VALPROICO JARABE 250MG C/120ML|290|0|0
|4|0|0|2015-09-10|ACIDO ZOLEDRONICO 4MG AMP. FCO. 5ML|907|0|0
|51|0|0|2015-09-10|ADALIMUMAB 40MG JER. PRELLENEDA|2016|0|0
|35|0|0|2015-09-10|ADAPALENE 1% CREMA C/30GR|1552|0|0
|952|0|0|2015-09-10|AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NI¢O FCO. C/90 DISP. Y 1|2552|0|0
|28|0|0|2015-09-10|ALBENDAZOL 200MG C/2 TAB.|957|0|0
|30|0|0|2015-09-10|ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML|95|0|0
|157|0|0|2015-09-10|ALENDRONATO SODICO 70MG C/4 TAB.|1945|0|0
|166|0|0|2015-09-10|ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.|1436|0|0
|12|0|0|2015-09-10|ALFAMETILDOPA 250MG C/30 TAB.|426|0|0
|22|0|0|2015-09-10|ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR|528|0|0
|139|0|0|2015-09-10|ALMOTRIPTAN 12.5MG C/2 COMP.|2942|0|0
|12|0|0|2015-09-10|ALOGLUTAMOL 500MG C/20 COMP.|758|0|0
|320|0|0|2015-09-10|ALOPURINOL 300MG C/20 TAB.|54|0|0
|110|0|0|2015-09-10|ALPRAZOLAM 0.25MG C/30 TAB. (II)|2778|0|0
|37|0|0|2015-09-10|ALPRAZOLAM 0.50MG C/30 TAB. (II)|2779|0|0
|25|0|0|2015-09-10|ALPRAZOLAM 1MG C/30 COMP. (II)|1448|0|0
|14|0|0|2015-09-10|ALTHERA POLVO LATA C/450GR|2019|0|0
|40|0|0|2015-09-10|ALUMINIO + MAGNESIO + DIMETICONA C/50 TAB. (MENTA)|699|0|0
|116|0|0|2015-09-10|ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA)|700|0|0
|42|0|0|2015-09-10|AMANTADINA + CLORFENAMINA + PARACETAMOL + FENILEFRINA SOL. FCO. C/60ML|2780|0|0
|301|0|0|2015-09-10|AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.|2664|0|0
|116|0|0|2015-09-10|AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML|30|0|0
|127|0|0|2015-09-10|AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML|31|0|0
|179|0|0|2015-09-10|AMBROXOL 30MG C/20 COMP.|1450|0|0
|85|0|0|2015-09-10|AMBROXOL GOTAS FCO. C/30ML|23|0|0
|238|0|0|2015-09-10|AMBROXOL SOL. ORAL FCO. C/120ML|22|0|0
|179|0|0|2015-09-10|AMIKACINA 500MG C/1X2ML AMP.|2604|0|0
|53|0|0|2015-09-10|AMINOFENAZONA + BUFENINA + DIFENILPIRALI C/20 CAP.|363|0|0
|42|0|0|2015-09-10|AMINOFENAZONA + BUFENINA + DIFENILPIRALI SOL. GOTAS C/25ML|362|0|0
|16|0|0|2015-09-10|AMISULPRIDA TBAS DE 200 MG 14|3025|0|0
|32|0|0|2015-09-10|AMITRIPTILINA 25MG C/50 TAB.|84|0|0
|643|0|0|2015-09-10|AMLODIPINO 5MG C/10 TAB.|2593|0|0
|133|0|0|2015-09-10|AMOXICILINA + ACIDO CLAVULANICO 500MG/125MG C/10 TAB.|1454|0|0
|381|0|0|2015-09-10|AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML|1003|0|0
|493|0|0|2015-09-10|AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.|1452|0|0
|47|0|0|2015-09-10|AMOXICILINA 250MG SUSP. C/75ML|24|0|0
|263|0|0|2015-09-10|AMOXICILINA 500MG C/12 CAP.|98|0|0
|45|0|0|2015-09-10|AMOXICILINA 500MG SUSP. C/75ML |2945|0|0
|21|0|0|2015-09-10|AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML|1852|0|0
|4|0|0|2015-09-10|AMPICILINA 1GR I.M. C/1 AMP.|99|0|0
|4|0|0|2015-09-10|AMPICILINA 250MG SUSP. C/60ML|2781|0|0
|67|0|0|2015-09-10|AMPICILINA 500MG C/20 CAP.|2565|0|0
|28|0|0|2015-09-10|ANASTROZOL 1MG C/28 TAB.|35|0|0
|33|0|0|2015-09-10|ANFEBUTAMONA 150MG LIB. PROL. C/30 TAB.|891|0|0
|2|0|0|2015-09-10|APOSITO HIDROCOLOIDE EXTRA DELGADO 10X10 C/10 PARCHES|1035|0|0
|17|0|0|2015-09-10|ARIPIPRAZOL 15MG C/10 TAB.|50|0|0
|2|0|0|2015-09-10|ATAZANAVIR 300MG C/30 CAP.|2883|0|0
|40|0|0|2015-09-10|ATENOLOL 100MG C/28 TAB.|849|0|0
|76|0|0|2015-09-10|ATENOLOL 50MG C/28 TAB.|2782|0|0
|6|0|0|2015-09-10|ATOMOXETINA 10MG C/14 CAP.|1034|0|0
|25|0|0|2015-09-10|ATOMOXETINA 18MG C/14 CAP.|804|0|0
|28|0|0|2015-09-10|ATOMOXETINA 25MG C/14 CAP.|794|0|0
|22|0|0|2015-09-10|ATOMOXETINA 40MG C/14 CAP.|807|0|0
|31|0|0|2015-09-10|ATOMOXETINA 60MG C/14 CAP.|966|0|0
|1448|0|0|2015-09-10|ATORVASTATINA 10MG C/20 TAB.|2762|0|0
|1001|0|0|2015-09-10|ATORVASTATINA 20MG C/10 TAB.|2761|0|0
|378|0|0|2015-09-10|ATORVASTATINA 40MG C/10 TAB.|2763|0|0
|33|0|0|2015-09-10|AZATIOPRINA 50MG C/50 TAB.|51|0|0
|8|0|0|2015-09-10|AZELASTINA SOL. OFT. 0.05% FCO. C/5ML|61|0|0
|43|0|0|2015-09-10|AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.|2944|0|0
|54|0|0|2015-09-10|AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.|2948|0|0
|40|0|0|2015-09-10|AZILSARTAN MEDOXOMILO 40MG C/28 TAB.|2946|0|0
|28|0|0|2015-09-10|AZILSARTAN MEDOXOMILO 80MG C/28 TAB.|2947|0|0
|253|0|0|2015-09-10|AZITROMICINA 500MG C/3 TAB.|1854|0|0
|82|0|0|2015-09-10|AZITROMICINA 600MG FCO. SUSP. C/15ML|1855|0|0
|14|0|0|2015-09-10|BACLOFENO 10MG C/100 TAB.|2980|0|0
"|85|0|0|2015-09-10|""BENCILPENICILINA BENZATAçNICA 1|200|000UI SOL. INY.""|128|0|0"
"|3|0|0|2015-09-10|""BENCILPENICILINA SODICA 1|000|000 UI + 1 FCO. C/2ML AMP. DIL.""|707|0|0"
|6|0|0|2015-09-10|BENZOATO DE ESTRADIOL + PROGESTERONA JER. 5MG/50MG C/1ML|532|0|0
|179|0|0|2015-09-10|BENZONATATO 100MG C/20 PERLAS|2880|0|0
|3|0|0|2015-09-10|BENZONATATO 50MG C/6 SUP.|2783|0|0
|100|0|0|2015-09-10|BETAHISTINA 24MG C/30 TAB.|2931|0|0
|247|0|0|2015-09-10|BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR|2568|0|0
|155|0|0|2015-09-10|BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA|208|0|0
|55|0|0|2015-09-10|BETAMETASONA + GENTAMICINA TUBO CREMA C/30GR|276|0|0
|38|0|0|2015-09-10|BETAMETASONA LOCION CAPILAR FCO. C/50ML|120|0|0
|10|0|0|2015-09-10|BETAMETASONA LOCION FCO. SUSP. C/100ML|119|0|0
|9|0|0|2015-09-10|BETAMETASONA PEDIATRICA  50MG GOTAS FCO. C/60ML|171|0|0
|61|0|0|2015-09-10|BETAMETASONA TUBO C/30GR|2784|0|0
|374|0|0|2015-09-10|BEZAFIBRATO 400MG C/10 TAB.|1858|0|0
|2|0|0|2015-09-10|BICALUTAMIDA 150MG C/28 TAB.|2753|0|0
|10|0|0|2015-09-10|BICALUTAMIDA 50MG C/28 TAB.|2870|0|0
|107|0|0|2015-09-10|BIFONAZOL TUBO CREMA C/20GR|1271|0|0
|28|0|0|2015-09-10|BIMATOPROST + TIMOLOL 0.03%/0.05% SOL. OFT. C/3ML|1793|0|0
|28|0|0|2015-09-10|BIMATOPROST GOTAS 0.03% SOL. OFT. C/3ML|1058|0|0
|185|0|0|2015-09-10|BISOPROLOL 1.25MG C/30 GRAGEAS|252|0|0
|198|0|0|2015-09-10|BISOPROLOL 2.5MG C/30 GRAGEAS|206|0|0
|73|0|0|2015-09-10|BISOPROLOL 5MG C/30 GRAGEAS|1160|0|0
|123|0|0|2015-09-10|BRIMONIDINA + TIMOLOL + DORSOLAMINA 20/5/2ML SOL. OFT. C/5ML|1546|0|0
|192|0|0|2015-09-10|BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML|225|0|0
|18|0|0|2015-09-10|BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML|46|0|0
|29|0|0|2015-09-10|BROMAZEPAM 3MG C/30 TAB.|588|0|0
|2|0|0|2015-09-10|BROMAZEPAM 6MG C/30 TAB.|1471|0|0
|19|0|0|2015-09-10|BROMHIDRATO DE GALANTAMINA 8MG C/14 CAP.|1587|0|0
|5|0|0|2015-09-10|BROMOCRIPTINA 2.5MG C/14 TAB.|2785|0|0
|283|0|0|2015-09-10|BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS|2587|0|0
|276|0|0|2015-09-10|BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.|131|0|0
|22|0|0|2015-09-10|BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML|62|0|0
|128|0|0|2015-09-10|BROMURO DE PINAVERIO 100MG C/14 TAB.|294|0|0
|59|0|0|2015-09-10|BROMURO DE PIRIDOSTIGMINA 60MG C/20 TAB.|531|0|0
|145|0|0|2015-09-10|BROMURO DE TIOTROPIO 18MCG C/20 CAP.|777|0|0
|18|0|0|2015-09-10|BROMURO DE TIOTROPIO C/30 CAP. + DISPOSITIVO DOSIFICADOR|2878|0|0
|820|0|0|2015-09-10|BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.|1304|0|0
|56|0|0|2015-09-10|BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY|782|0|0
|44|0|0|2015-09-10|BUDESONIDA + FORMOTEROL 320MG/9MCG C/60 DOSIS (POLVO)|802|0|0
|10|0|0|2015-09-10|BUDESONIDA + FORMOTEROL 80MG/4.5MCG SPRAY|1782|0|0
|90|0|0|2015-09-10|BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML|1008|0|0
|14|0|0|2015-09-10|BUDESONIDA 0.250MG/ML NEBUL. C/5 AMP. SOBRE 2ML|719|0|0
|18|0|0|2015-09-10|BUDESONIDA 3MG C/50 CAP.|2904|0|0
|2|0|0|2015-09-10|BUFLOMEDIL 150MG C/30 TAB.|508|0|0
|2|0|0|2015-09-10|BUMETANIDA 1MG C/20 COMP.|559|0|0
|7|0|0|2015-09-10|BUPRENORFINA 30MG C/4 PARCHES (II)|2758|0|0
|95|0|0|2015-09-10|CABERGOLINA 0.5MG C/2 TAB.|282|0|0
|52|0|0|2015-09-10|CALAMINA LOCION FCO. 180ML|160|0|0
|24|0|0|2015-09-10|CALCIO 500MG ENV. C/12 COMP.|209|0|0
|25|0|0|2015-09-10|CALCITRIOL 0.25MCG C/50 CAP.|1862|0|0
|3|0|0|2015-09-10|CALCITRIOL CREMA UNG?ENTO TUBO 0.3MG C/30GR|1268|0|0
|6|0|0|2015-09-10|CAPECITABINA 500MG C/120 GRAGEAS|898|0|0
|87|0|0|2015-09-10|CAPTOPRIL 25MG C/30 TAB.|2569|0|0
|143|0|0|2015-09-10|CARBAMAZEPINA 400MG C/20 GRAGEAS|815|0|0
|6|0|0|2015-09-10|CARBAMAZEPINA SUSP. 2G/100ML|147|0|0
|591|0|0|2015-09-10|CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.|2786|0|0
|18|0|0|2015-09-10|CARBONATO DE LITIO 300MG C/50 TAB.|243|0|0
|308|0|0|2015-09-10|CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML|754|0|0
|28|0|0|2015-09-10|CARVEDILOL 25MG C/14 TAB.|2594|0|0
|3|0|0|2015-09-10|CEFALEXINA 125MG/5ML SUSP.|1482|0|0
|73|0|0|2015-09-10|CEFALEXINA 250MG/5ML SUSP.|1483|0|0
|499|0|0|2015-09-10|CEFALEXINA 500MG C/20 CAP.|169|0|0
|97|0|0|2015-09-10|CEFIXIMA 100MG/5ML SUSP. ORAL C/100ML|1135|0|0
|32|0|0|2015-09-10|CEFIXIMA DE 200MG C/12 CAP.|1335|0|0
|37|0|0|2015-09-10|CEFTIBUTEN 36MG/ML SUSP. FCO C/30ML|167|0|0
|42|0|0|2015-09-10|CEFTIBUTEN 400MG C/10 CAP.|168|0|0
|33|0|0|2015-09-10|CEFUROXIMA 250MG/5ML SUSP. C/50ML|2615|0|0
|3|0|0|2015-09-10|CEFUROXIMA 500MG C/10 TAB.|1488|0|0
|104|0|0|2015-09-10|CETIRIZINA 10MG C/10 TAB.|884|0|0
|68|0|0|2015-09-10|CETIRIZINA SOL 10MG/ML C/10ML|871|0|0
|40|0|0|2015-09-10|CETIRIZINA SOL. FCO. C/50ML|885|0|0
|135|0|0|2015-09-10|CICLESONIDA 50MCG SPRAY NASAL C/120 DOSIS|3009|0|0
|112|0|0|2015-09-10|CICLOPIROX 8% SOL. C/3ML|1377|0|0
|5|0|0|2015-09-10|CICLOPIROX CREMA CUTANEA 20GR|2730|0|0
|2|0|0|2015-09-10|CICLOSPORINA 0.1% GOTAS OFT. C/5ML|3011|0|0
|6|0|0|2015-09-10|CICLOSPORINA DE GELATINA BLANDA 25MG C/50 CAP.|1114|0|0
|2|0|0|2015-09-10|CICLOSPORINE A 50MG MICROEMULSION C/50 CAP.|761|0|0
|2|0|0|2015-09-10|CINACALCET 30MG C/30 COMP.|2983|0|0
|20|0|0|2015-09-10|CINARIZINA 75MG ENV. C/60 TAB.|237|0|0
|279|0|0|2015-09-10|CINITAPRIDA 1MG C/25 COMP.|2788|0|0
|14|0|0|2015-09-10|CINOSTAZOL 100MG C/30 TAB.|2949|0|0
|47|0|0|2015-09-10|CIPROFLOXACINO + DEXAMETASONA 3MG/1MG/ML FCO. C/5ML|2697|0|0
|73|0|0|2015-09-10|CIPROFLOXACINO + HIDROCORTISONA + LIDOCAINA SOL. OTICA GOTAS|2789|0|0
|191|0|0|2015-09-10|CIPROFLOXACINO 250MG C/12 TAB|924|0|0
|209|0|0|2015-09-10|CIPROFLOXACINO 500MG C/12 COMP.|2885|0|0
|66|0|0|2015-09-10|CIPROFLOXACINO SOL. OFT. GOTAS C/5ML|1493|0|0
|42|0|0|2015-09-10|CIPROTERONA + ETINILESTRADIOL 2MG/.035MG C/21 GRAGEAS |1522|0|0
|42|0|0|2015-09-10|CISAPRIDA 10MG C/30 TAB.|177|0|0
|16|0|0|2015-09-10|CISAPRIDA FCO C/60ML|691|0|0
|16|0|0|2015-09-10|CITICOLINA 500MG C/10 COMP.|2632|0|0
|312|0|0|2015-09-10|CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.|1361|0|0
|4|0|0|2015-09-10|CITRATO DE POTASIO 1080MCG C/100 TAB.|2891|0|0
|179|0|0|2015-09-10|CITRATO DE SILDENAFIL 50MG C/4 TAB.|2790|0|0
|8|0|0|2015-09-10|CITRATO DE SODIO + LAURILSULFOACETATO DE SODIO SUSP. CON 4 ENEMAS EN APLICADOR DESECHABLE DE 5|538|0|0
|35|0|0|2015-09-10|CITRATO DE TAMOXIFENO 20MG C/15 TAB.|625|0|0
|105|0|0|2015-09-10|CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.|2731|0|0
|65|0|0|2015-09-10|CLARITROMICINA 250MG SUSP. PED. FCO. C/60ML GRANULOS|467|0|0
|61|0|0|2015-09-10|CLARITROMICINA 500MG C/10 TAB.|2092|0|0
|94|0|0|2015-09-10|CLEBOPRIDA + SIMETICONA C/45 CAP.|2950|0|0
|40|0|0|2015-09-10|CLEBOPRIDA 500MG C/30 COMP.|2914|0|0
|9|0|0|2015-09-10|CLEBOPRIDA JBE. FCO. C/90ML|2671|0|0
|30|0|0|2015-09-10|CLINDAMICINA + KETOCONAZOL 800/100MG C/3 TAB. VAGINALES|1029|0|0
|40|0|0|2015-09-10|CLINDAMICINA + PEROXIDO DE BENZOILO 5GR/100GR EN 100GR TUBO GEL C/30GR|449|0|0
|144|0|0|2015-09-10|CLINDAMICINA 300MG C/16 CAP.|2680|0|0
|16|0|0|2015-09-10|CLINDAMICINA 300MG C/2ML AMP.|238|0|0
|10|0|0|2015-09-10|CLINDAMICINA 75MG/5ML FCO. GRANULADO PARA 100ML|260|0|0
|61|0|0|2015-09-10|CLINDAMICINA SOL. TOPICA FCO C/30ML|261|0|0
|16|0|0|2015-09-10|CLIOQUINOL TUBO CREMA 30GR|2791|0|0
|6|0|0|2015-09-10|CLOBAZAM 10MG C/30 TAB.|581|0|0
|67|0|0|2015-09-10|CLOBETASOL 0.044GR TUBO C/40GR|1238|0|0
|84|0|0|2015-09-10|CLOBETASOL 0.050% TUBO C/30GR|227|0|0
|88|0|0|2015-09-10|CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II)|468|0|0
|156|0|0|2015-09-10|CLONAZEPAM 2MG C/30 COMP. (II)|2410|0|0
|131|0|0|2015-09-10|CLONIXINATO DE LISINA 250MG C/10 TAB.|1499|0|0
|12|0|0|2015-09-10|CLONIXITATO DE LISINA + CICLOBENZAPRINA 125/5 C/20 TAB.|2307|0|0
|121|0|0|2015-09-10|CLOPIDOGREL 75MG C/28 TAB.|692|0|0
|31|0|0|2015-09-10|CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO. C/10ML|2794|0|0
|48|0|0|2015-09-10|CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML |2726|0|0
|4|0|0|2015-09-10|CLORANFENICOL TUBO OFT. C/5GR|2674|0|0
|67|0|0|2015-09-10|CLORFENAMINA I 50MG JBE. FCO. C/60ML|1503|0|0
|16|0|0|2015-09-10|CLORHIDRATO AMITRIPTILINA + DIAZEPAM + PERFENACINA 10MG/3MG/2MG C/30 TAB.|574|0|0
|85|0|0|2015-09-10|CLORHIDRATO DE ALFUZOSINA 10MG LIB. PROL. C/28 TAB.|893|0|0
|66|0|0|2015-09-10|CLORHIDRATO DE AMIODARONA 200MG C/20 TAB.|2795|0|0
|37|0|0|2015-09-10|CLORHIDRATO DE BENCIDAMINA 45MG SOL. C/30ML|2668|0|0
|125|0|0|2015-09-10|CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR|57|0|0
|34|0|0|2015-09-10|CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML|121|0|0
|29|0|0|2015-09-10|CLORHIDRATO DE BIPERIDENO 2MG C/30 TAB.|2798|0|0
|75|0|0|2015-09-10|CLORHIDRATO DE BROMHEXINA JARABE C/100ML|1874|0|0
|65|0|0|2015-09-10|CLORHIDRATO DE DULOXETINA 60MG C/28 CAPS.|210|0|0
|81|0|0|2015-09-10|CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.|2367|0|0
