,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0038,160,0.6862,0,2016-07-13,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,40, $27.60 , $109.79 
MED4461,5,14.5,0,2016-07-13,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,1, $14.50 , $72.50 
MED4554,70,2.25,0,2016-07-13,BROMURO DE PINAVERIO TAB,,14, $31.50 , $157.50 
MED1028,100,2.94,0,2016-07-13,BUTILHIOSINA + METAMISOL SODICO TAB C/ 10,,10, $29.40 , $294.00 
MED0166,5,30.5,0,2016-07-13,FOSFATO MONOSODICO12 GR + CIDRATO DE SODIO ENEMA EVACUANTE // PATENTE,,1, $30.50 , $152.50 
MED1079,5,15.6,0,2016-07-13,IBUPROFENO JARABE 120 ML,,1, $15.60 , $78.00 
MED4569,3,12,0,2016-07-13,KETOCONAZOL POMADA,,1, $12.00 , $36.00 
MED4475,5,27.5,0,2016-07-13,LARITOL D INFANTIL JBE LORATADINA FENILEFRINA,,1, $27.50 , $137.50 
MED4563,3,30,0,2016-07-13,LIDOCAINA/HIDROCORTISONA CREMA,,1, $30.00 , $90.00 
MED4567,4,84.5,0,2016-07-13,MUPIROCINA  2% UNGöENTO  ,,1, $84.50 , $338.00 
MED4566,10,3.16,0,2016-07-13,NAPROXENO + PARACETAMOL 100MG/200MG SUP.,,5, $15.80 , $31.60 
MED0137,100,1.45,0,2016-07-13,IBUPROFENO + PARACETAMOL 200MG/325MG TAB.,,20, $29.00 , $145.00 
MED0336,48,4.83,0,2016-07-13,SYNCOL TAB C/24,,24, $115.92 , $231.84 
MED0348,30,1.14,0,2016-07-13,TRIB12 DX COMPLEJO B + DEXAMETASONA + LIDOCAINA,,30, $34.20 , $34.20 
MED4565,150,1.7833,0,2016-07-13,TRIMEBUTINA 200 MG TABS,,30, $53.40 , $267.50 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
