,,,,FORMATO DE REQUISICI‡N,,
,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,
DESTINO:,,,,,,ELABORADO POR:
,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
MAT0738,1,7,16,25/05/2016,PUNTAS NASALES,
EQU031,1,4099,16,25/05/2016,ESTUCHE DE DIAGNOSTICO MARCA WELCH ALLYN,
EQU057,1,310,16,25/05/2016,ESTUCHE DE DISECCION,
MAT4525,1,396,16,25/05/2016,MASCARILLA  POCKET RCP,
MAT4524,1,384,16,25/05/2016,MASCARILLA  LARINGEA  3,
MAT4531,1,384,16,25/05/2016,MASCARILLA LARINGEA 1,
