,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,19-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,8,119,16,17/10/2016,ABATELENGUAS C/500 PZAS.,,,,$952.00
,5,12.5,16,17/10/2016,AGUA OXIGENADA 500 ML,,,,$62.50
,10,87.5,16,17/10/2016,AGUJA DESECHABLE 18X38 MM. C/100 PZAS.,,,,$875.00
,5,87.5,16,17/10/2016,AGUJA DESECHABLE 20X32 MM. C/100 PZAS.,,,,$437.50
,10,87.5,16,17/10/2016,AGUJA DESECHABLE 22X32 MM. C/100 PZAS.,,,,$875.00
,3,87.5,16,17/10/2016,AGUJA DESECHABLE 25X16 MM C/100 PZAS,,,,$262.50
,5,87.5,16,17/10/2016,AGUJA DESECHABLE 23X25 MM. C/100 PZAS.,,,,$437.50
,72,31.5,16,17/10/2016,ALCOHOL ROJO 96 GR. LITRO CANITAS,,,,"$2,268.00"
,2,275,16,17/10/2016,ALKAZYME PAQ. C/12 SOBRES 20GR.,,,,$550.00
,4,2925,16,17/10/2016,ALKACIDE ESTERELIZANTE 1 LITRO,,,,"$11,700.00"
,5,5279,16,17/10/2016,ACTIVATOR FOR COBRAS INTEGRA,,,,"$26,395.00"
,4,7385,16,17/10/2016,AVL HB CALIBRATOR 5XIML,,,,"$29,540.00"
,5,641.7,16,17/10/2016,BARRERA CONVEXA NIMAG C/5,,,,"$3,208.50"
,4,613.8,16,17/10/2016,BARRERA STOMAHESIVE FLEX 45MM C/5,,,,"$2,455.20"
,3,613.8,16,17/10/2016,BARRERA STOMAHESIVE FLEX 70MM C/5,,,,"$1,841.40"
,10,535,16,17/10/2016,BARRERA TANDEM 70 MM C/5,,,,"$5,350.00"
,5,535,16,17/10/2016,BARRERA CUTANEA PLANA ARO 70 MM CAJA CON 5,,,,"$2,675.00"
,4,480,16,17/10/2016,BARRERA NEW IMAGEN 57MM. C/5,,,,"$1,920.00"
,120,81,16,17/10/2016,BATA MEDICO-PACIENTE SMS AZUL C/10,,,,"$9,720.00"
,30,32,16,17/10/2016,BATA PARA CIRUJANO,,,,$960.00
,4,83,16,17/10/2016,BRAZALETE IDENTIFICACION,,,,$332.00
,2,728.84,16,17/10/2016,BOLSA DRENABLE 70 MM C/10,,,,"$1,457.68"
,2,728.84,16,17/10/2016,BOLSA DRENABLE S/F 70 MM C/10,,,,"$1,457.68"
,3,728.84,16,17/10/2016,BOLSA DRENABLE TRANSPARENTE C/10,,,,"$2,186.52"
,20,24.38,16,17/10/2016,BOLSA RECOLECTORA DE ORINA ADULTO PARA PIERNA,,,,$487.60
,2,1312.5,16,17/10/2016,BOLSA RESIDUOS CAL. 200 ROJA 50X60 C/500,,,,"$2,625.00"
,4,2237,16,17/10/2016,"COBAS INTEGRA UA2, TRIG 250",,,,"$8,948.00"
,4,6328,16,17/10/2016,CELLPACK 20L (PK30L),,,,"$25,312.00"
,5,5698,16,17/10/2016,"CALSET PROGESTERONA,FT3,FT4",,,,"$28,490.00"
,4,7451,16,17/10/2016,"COMBITROL PLUS LEVEL 1,2,3",,,,"$29,804.00"
,1,715,16,17/10/2016,CAJA C/12 CROMICO 3-0 AHUSADA 26 MM,,,,$715.00
,8,196,16,17/10/2016,"CAJA CINTA MICROPORE 1.25 1/2""",,,,"$1,568.00"
,6,750,16,17/10/2016,"CAJA INTROCAN CERTO NUM 16,18,20,22",,,,"$4,500.00"
,15,325,16,17/10/2016,CAJAS C/100 DE DUOTIP APLICADOR,,,,"$4,875.00"
,150,16.25,16,17/10/2016,CAMPO SENCILLO 60X60 CM. ESTERIL,,,,"$2,437.50"
,100,20,16,17/10/2016,CAMPO ESTERIL HENDIDO 50X70 C/ADHESIVO,,,,"$2,000.00"
,25,7.8,16,17/10/2016,CATETER P/SUMINISTRO DE OXIGENO ADULTO,,,,$195.00
,1,1090.98,16,17/10/2016,CATGUT CHROM 3/0 75CM. CAJA C/24 PZAS,,,,"$1,090.98"
,5,518,16,17/10/2016,CEPILLO C/PCMX 3% C/30 EZ-SCRUB,,,,"$2,590.00"
,10,234,16,17/10/2016,CINTA TESTIGO P/GASA ROLLO,,,,"$2,340.00"
,30,90,16,17/10/2016,COMPRESA 70X45 C/6,,,,"$2,700.00"
,2,219,16,17/10/2016,CONOS P/OTOSCOPIO ADULTO,,,,$438.00
,40,57.5,16,17/10/2016,CUBREBOCAS AZUL C/50,,,,"$2,300.00"
,11,112.5,16,17/10/2016,CUBRE ZAPATO SMS AZUL 100 PZAS.,,,,"$1,237.50"
,,,,,,,,, $-   
