FORMATO DE REQUISICI?N,,,,,,,,,,,,
,,,,,,,,,,,,
SME ,,,,,,,,,,,,
SME-100521K58,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,29-dic,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,MARCA,MODELO,DESCRIPCION,PRECIO REFERENCIA
,40,231,16,29/12/2015,DENGUE NS1 +AB C/10 PRUEBAS RAPIDAS,,,,,,,
,4,195,16,29/12/2015,SUEROS ANTI-D   FCO. 10ml   BIO RAD,,,,,,,
,20,88,16,29/12/2015,HELICOBACTER PYLORI (HECES) PRUEBA,,,,,,,
,4,85.8,16,29/12/2015,SUEROS ANTI-A  FCO. 10ml   BIO RAD,,,,,,,
,4,85.8,16,29/12/2015,SUEROS ANTI-B   FCO. 10ml   BIO RAD,,,,,,,
,25,38.976,16,29/12/2015,HELICOBACTER PYLORI (SUERO) ,,,,,,,
,600,26.4,16,29/12/2015,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,,,,,
,40,12.6,16,29/12/2015,TUBOS DE AGAR  MIO ,,,,,,,
,20,12.6,16,29/12/2015,TUBOS DE AGAR LIA,,,,,,,
,20,12.6,16,29/12/2015,TUBOS DE AGAR SIM,,,,,,,
,20,12.6,16,29/12/2015,TUBOS DE AGAR TSI,,,,,,,
,10,12.6,16,29/12/2015,TUBOS DE AGAR CITRATO DE SIMONS,,,,,,,
,600,3.03,16,29/12/2015,RPR CAJA C/200 PRUEBAS,,,,,,,
