FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,1,455.28,16,26/11/2015,ACEITE LUBRICANTE (PANASPRAY),,,,
,800,2.8425,16,26/11/2015,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,,,,
,500,26.9298,16,26/11/2015,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,,
,500,8.6988,16,26/11/2015,ANESTESIA AL 2%,,,,
,250,8.7,16,26/11/2015,ANESTESIA AL 3%,,,,
,300,6.6918,16,26/11/2015,BOQUILLAS PARA FLORURO CHICAS SULTAN,,,,
,400,6.6918,16,26/11/2015,BOQUILLAS PARA FLORURO GRANDES SULTAN,,,,
,1500,2.84148,16,26/11/2015,EYECTORES DE SALIVA MONOJET,,,,
,8,93.98,16,26/11/2015,FLORURO EN FORMA DE GEL BOTE C/480ML,,,,
,100,30.82,16,26/11/2015,FRESA BASTAGO LARGO P/CIRUGIA NO. 702 JET (Tallo largo de baja velocidad),,,,
,20,20.51,16,26/11/2015,FRESA CARBURO BOLA NO. 4,,,,
,50,20.51,16,26/11/2015,FRESA CARBURO PERA NO. 330,,,,
,50,20.27,16,26/11/2015,FRESA CILINDRICA DIAMANTE NO. 699 JET (FG),,,,
,30,20.51,16,26/11/2015,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,,,,
,30,32.71,16,26/11/2015,FRESA DIAMANTE NO. 1062 TF11,,,,
,30,32.71,16,26/11/2015,FRESAS FORMA LLANTA,,,,
,1,4718.96,16,26/11/2015,"KIT DE RESINAS 3M, JERINGAS, ACIDO Y SINGLE BOND",,,,
,1,1560.59,16,26/11/2015,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,,,,
,2,825.97,16,26/11/2015,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,,,
,5,913.27,16,26/11/2015,TABLETAS PARA COLOCAR EN LAS BOTELLAS DE AGUA ADEC,,,,
,1000,0.5797,16,26/11/2015,TOALLAS INTERDOBLADA SURTIDA,,,,
,2,529.18,16,26/11/2015,ULTRABLEND C/2 JERINGAS,,,,
,3000,0.40883,16,26/11/2015,VASOS DESECHABLES,,,,
