FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,29-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,6,61,16,05/12/2016,ANTIBENZIL SOL. JABON,,,,$366.00
,100,16,16,05/12/2016,APLICADORES DE NITRATO DE PLATA 75% + NITRATO DE POTASIO 25%,,,,"$1,600.00"
,20,13,16,05/12/2016,BOLSA RECOLECTORA ORINA CAMA,,,,$260.00
,3,20,16,05/12/2016,CAJA DE KLEENEX PANUELOS,,,,$60.00
,680,0.91,16,05/12/2016,CONOS PARA OTOSCOPIA MEDIANOS,,,,$618.80
,200,1.1,16,05/12/2016,HOJA DE BISTURI NO. 15,,,,$220.00
,600,2,16,05/12/2016,JERINGA 10CC (22X32),,,,"$1,200.00"
,1000,1.68,16,05/12/2016,JERINGA 1CC (29X13),,,,"$1,680.00"
,700,1.3,16,05/12/2016,JERINGA 3ML (21X32),,,,$910.00
,1500,1.3,16,05/12/2016,JERINGA 3ML (22X32),,,,"$1,950.00"
,1100,1.3,16,05/12/2016,JERINGA 3ML (23X25),,,,"$1,430.00"
,2000,1.48,16,05/12/2016,JERINGA 5CC (22X32),,,,"$2,960.00"
,36,115.28,16,05/12/2016,SAFIL 5-0 19MM / 45CM C1048219 C,,,,"$4,150.08"
,36,115.28,16,05/12/2016,SILKAM 2-0 C0264460 ,,,,"$4,150.08"
,72,115.28,16,05/12/2016,SILKAM 4-0 HR26 C0760404,,,,"$8,300.16"
,10,22,16,05/12/2016,SONDA FOLEY NO. 8,,,,$220.00
,150,9,16,05/12/2016,SONDA NELATON NO. 14,,,,"$1,350.00"
,36,18.33,16,05/12/2016,"TELA ADHESIVA 1""X5MTS",,,,$659.88
,50,1.65,16,05/12/2016,TOALLA OBSTETRICA,,,,$82.50
,,,,,,,,, $-   
