STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
 MED0318 ,240,1.07,0,24/10/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.C/15,
 MED0038 ,250,0.6862,0,24/10/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,
 MED4497 ,10,135,0,24/10/2016,BECLOMETASONA SPRAY ,
 MED1050 ,100,0.76,0,24/10/2016,BENZONATATO PERLAS,
 MED4444 ,10,70,0,24/10/2016,BROMURO DE IPRATROPIO SPRAY,
 MED0092 ,3,25,0,24/10/2016,CLORAMFENICOL UNGUENTO TUBO 5 MG,
 MED1085 ,3,226,0,24/10/2016,CLORURO DE ETILO SPRAY ,
 MED0102 ,20,62,0,24/10/2016,IPRATROPIO + SALBUTAMOL 20MCG/120MCG/10ML AEROSOL,
 MED0116 ,40,5.1,0,24/10/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,
 MED0167 ,5,145.5,0,24/10/2016,FURACIN POMADA 85 GR.,
 MED1032 ,200,3.25,0,24/10/2016,KETOROLACO 30MG AMP.,
 MED0219 ,5,83.5,0,24/10/2016,LAV OFTENO 100 ML ACIDO BORICO BORAX ,
 MED0223 ,84,0.7,0,24/10/2016,LOPERAMIDA 2 MG C/12 TABLETAS,
 MED4451 ,50,7,0,24/10/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.C/5,
 MED0239 ,60,2.5,0,24/10/2016,METOCLOPRAMIDA 10MG/2ML SOL. INY.,
 MED1033 ,5,12.7,0,24/10/2016,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,
 MED1063 ,5,39.9,0,24/10/2016,NORFENEFRINA SO. GOTAS FCO.10 MG 24 ML,
MED0296,10,70,0,24/10/2016,TETRACAINA SOL. OFTALMICA GTS. ,
MED0305,60,0.75,0,24/10/2016,RANITIDINA 300MG TAB.,
MED0321,10,32.5,0,24/10/2016,SALBUTAMOL 100MCG SPRAY,
MED0323,3,745.15,0,24/10/2016,SALMETEROL + FLUTICASONA 25MCG/50 MCG FCO. PRESURIZADO C/CONTADOR DE DOSIS // PATENTE,
MED4548,60,1.78,0,24/10/2016,L-CARNITINA TABS C/30,
