,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
A8,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS REZA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2,570.19,16,12/07/2016,ACEITE LUBRICANTE      (PANASPRAY),,,,"$1,140.38"
,1,66.2,16,12/07/2016,ACEITE LUBRICANTE  PARA PIEZA DE MANO ALTA VELOCIDAD,,,,$66.20
,13,349.31,16,12/07/2016,AGUJAS DESECHABLES CORTAS # 30 ,,,,"$4,541.03"
,1,11988.13,16,12/07/2016,AMALGAMA CAPSULAS PREDOSIFICADA  600 MG.,,,,"$11,988.13"
,2,541.59,0,12/07/2016,ANESTESIA 3% SIN VASOCONSTRICTOR CARTUCHO,,,,"$1,083.18"
,20,541.59,0,12/07/2016,ANESTESIA AL 2%  C/VASOCONSTRICTOR CARTUCHO,,,,"$10,831.80"
,4,123.33,16,12/07/2016,APLICADORES DE FIBRA DESECHABLES,,,,$493.32
,2,707.16,16,12/07/2016,BOLSAS DESECHABLES PARA PLACA DENTAL # 2 c/300,,,,"$1,414.32"
,6,410.09,16,12/07/2016,BOQUILLAS PARA FLORURO  GRANDES,,,,"$2,460.54"
,20,87.38,16,12/07/2016,CORONA DE ACERO CENTRAL UL3 907003,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO CENTRAL UR3 907013,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO LATERAL  UL5 907025,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. D-LR-3,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. D-LR-4,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. D-UR-3,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. D-UR-4,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. E-LR-5,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. E-UR-3,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR DER. E-UR-4,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR IZQ. D-UL-4,,,,"$1,747.60"
,20,87.38,16,12/07/2016,CORONA DE ACERO MOLAR IZQ. D-UL-5,,,,"$1,747.60"
,1,390.46,16,12/07/2016,CUNAS DE MADERA DIFERENTES TAMANOS,,,,$390.46
,25,117.81,16,12/07/2016,ESPEJOS PARA DIAGNOSTICO # 5 ,,,,"$2,945.25"
,6,122.85,16,12/07/2016,EUGENOL  FRASCO 30 ml.,,,,$737.10
,6,870.86,16,12/07/2016,EYECTORES DE SALIVA  ,,,,"$5,225.16"
,6,115.34,16,12/07/2016,FLORURO EN FORMA DE GEL,,,,$692.04
,1,56.65,16,12/07/2016,FORMOCRESOL,,,,$56.65
,70,25.31,16,12/07/2016,FRESA BASTAGO P/CIRUGIA # 702 PIEZA DE MANO BAJA VELOCIDAD,,,,"$1,771.70"
,50,25.21,16,12/07/2016,FRESA CILINDRICA DE DIAMANTE # 699,,,,"$1,260.50"
,80,25.31,16,12/07/2016,FRESA DE CARBURO BOLA # 5,,,,"$2,024.80"
,80,25.21,16,12/07/2016,FRESA DE CARBURO FORMA PERA # 330,,,,"$2,016.80"
,70,25.31,16,12/07/2016,FRESA DE CARBURO FORMA PERA # 331,,,,"$1,771.70"
,50,42.45,16,12/07/2016,FRESA DE DIAMANTE # 1062 TF11,,,,"$2,122.50"
,30,42.45,16,12/07/2016,FRESA FORMA DE LLANTA,,,,"$1,273.50"
,1,62.11,16,12/07/2016,HIDROXIDO DE CALCIO POLVO  45 GR. ,,,,$62.11
,2,1727.43,16,12/07/2016,"KIT DE RESINAS CON  A2, A3,A3.5 Y B2,  ACIDO  Y SINGLE BOND",,,,"$3,454.86"
,3,518.92,16,12/07/2016,LIMPIADOR ESNZIMATICO CONCENTRADO ,,,,"$1,556.76"
,3,16.43,16,12/07/2016,LOSETAS PARA BATIR CEMENTO DE VIDRIO,,,,$49.29
,16,283.24,16,12/07/2016,MANGO PARA ESPEJO # 5 Y # 3,,,,"$4,531.84"
,14,43.68,16,12/07/2016,PANOS EXPRIMIDORES DE AMALGAMA,,,,$611.52
,8,261.8,16,12/07/2016,PINSAS DE CURACION,,,,"$2,094.40"
,1,245.7,16,12/07/2016,SATIN HEMOSTATICO COAGULANTE SOLUBLE ,,,,$245.70
,4,1046.45,16,12/07/2016,SOLUCION DE LIMPIEZA PARA SISTEMA DE EVACUACION,,,,"$4,185.80"
,1,9.55,16,12/07/2016,TIRAS DE CELULOIDE,,,,$9.55
,1,507.86,16,12/07/2016,VASOS DESECHABLES # 3,,,,$507.86
