FORMATO DE REQUISICI‡N,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
OCTUBRE,,,,,,15-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,LUIS,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,177,16,2015-10-20,ANTIGENO BRUCELLA FCO. 5ML,,,,,"$1,770.00"
,10,84,16,2015-10-20,"ANTIGENO PARATIFICO ""B"" FCO. 5ML",,,,,$840.00
,10,84,16,2015-10-20,"ANTIGENO TIFICO ""H"" FCO. 5ML",,,,,$840.00
,4000,0.26,16,2015-10-20,CUBREOBJETOS 22X22,,,,,"$1,040.00"
,10,231,16,2015-10-20,DENGUE NS1 +AB C/10 PRUEBAS RAPIDAS,,,,,"$2,310.00"
,20,92.94,16,2015-10-20,HELICOBACTER PYLORI (HECES) PRUEBA,,,,,"$1,858.80"
,230,9.42,16,2015-10-20,PLACA D/AGAR MUELLER-HINTON,,,,,"$2,166.60"
,190,11.81,16,2015-10-20,PLACA D/AGAR SAL-MANITOL,,,,,"$2,243.90"
,330,11.92,16,2015-10-20,PLACA DE AGAR EMB,,,,,"$3,933.60"
,20,9.42,16,2015-10-20,PLACA DE AGAR SALMONELLA-SHIGELLA,,,,,$188.40
,240,14.98,16,2015-10-20,PLACA DE AGAR SANGRE,,,,,"$3,595.20"
,330,14.98,16,2015-10-20,PLACA DE AGAR SANGRE CON AZIDA,,,,,"$4,943.40"
,20,11.81,16,2015-10-20,PLACA DE AGAR XLD,,,,,$236.20
,800,0.4,16,2015-10-20,PORTA OBJETOS C/50 CORNIN,,,,,$320.00
,400,3.8,16,2015-10-20,PRUEBA DE EMBARAZO DE 200 MU/MI,,,,,"$1,520.00"
,20,42.95,16,2015-10-20,PRUEBA PARA ROTAVIRUS CAJA CON 20 O 30 PRUEBA RAPIDA,,,,,$859.00
,610,26.4,16,2015-10-20,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,,,"$16,104.00"
,1000,3.03,16,2015-10-20,RPR CAJA C/200 PRUEBAS,,,,,"$3,030.00"
,10,12.6,16,2015-10-20,TUBOS DE AGAR CITRATO DE SIMONS,,,,,$126.00
,20,12.6,16,2015-10-20,TUBOS DE AGAR LIA,,,,,$252.00
,20,12.6,16,2015-10-20,TUBOS DE AGAR SIM,,,,,$252.00
,20,12.6,16,2015-10-20,TUBOS DE AGAR TSI,,,,,$252.00
,25,38.976,16,2015-10-20,HELICOBACTER PYLORI (SUERO) ,,,,,$974.40
,120,14.98,16,2015-10-20,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,,,"$1,797.60"
,120,11.92,16,2015-10-20,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,,,"$1,430.40"
,4,85.8,16,2015-10-20,SUEROS ANTI-A  FCO. 10ml   BIO RAD,,,,,$343.20
,4,85.8,16,2015-10-20,SUEROS ANTI-B   FCO. 10ml   BIO RAD,,,,,$343.20
,1,195,16,2015-10-20,SUEROS ANTI-D   FCO. 10ml   BIO RAD,,,,,$195.00
,40,12.6,16,2015-10-20,TUBOS DE AGAR  MIO ,,,,,$504.00
,1,296,16,2015-10-20,ALBUMINA  BOVINA  FCO  5ML ,,,,,$296.00
,,,,,,,,,,"$54,564.90"
