FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,07-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA HERNANDEZ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,18,166,16,,TROVICEL ROTULADO 80 X 30,,,,
,11,40,16,,TROVICEL ROTULADO 15 X 15,,,,
,24,54,16,,TROVICEL ROTULADO 28 X 12,,,,
,7,45,16,,TROVICEL ROTULADO 20 X 14,,,,
,1,45,16,,TROVICEL ROTULADO TAMANO CARTA,,,,
,20,45,16,,REPOSICION DE DISENO EN SENALAMIENTOS DE PERFIL DE ALUMINIO (ESTIRENOS) 28 X 12,,,,
,7,43,16,,REPOSICION DE DISENO EN SENALAMIENTOS DE PERFIL DE ALUMINIO 15 X 15,,,,
,2,75,16,,REPOSICION DE DISENO EN SENALAMIENTOS DE PERFIL DE ALUMINIO 50 X 15,,,,
,1,150,16,,REPOSICION DE DISENO EN SENALAMIENTOS DE PERFIL DE ALUMINIO 30 X 42.5,,,,
,1,550,16,,ROTULO POR COMPUTADORA EN VINIL NORMAL  EN VENTANA DE VIDRIO 80 X 17,,,,
,2,250,16,,ROTULO EN VINIL ESMERILADO PARA PUERTA 58 X 20,,,,
,1,250,16,,"ROTULO EN VINIL ESMERILADO PARA PUERTA  30 X  15
",,,,
,3,955,16,,ACRILICOS CON CHAPETONES 50 X 30,,,,
,1,2500,16,,INSTALACIONES ,,,,
