FORMATO DE REQUISICI‡N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0043,10,2.833333333,0,2016-01-22,Avapena INY,,,,$28.33
MED4411,50,5.666666667,0,2016-01-22,Butilhioscina INY,,,,$283.33
MED0101,10,36.66666667,0,2016-01-22,Combivent,,,,$366.67
MED1066,80,8,0,2016-01-22,Dexametaxona iny,,,,$640.00
MED0116,50,7.5,0,2016-01-22,Diclofenaco iny,,,,$375.00
MED1008,1,19.5,0,2016-01-22,Diclofenaco GEL,,,,$19.50
MED0215,80,5,0,2016-01-22,Ketorolaco iny,,,,$400.00
MED0216,8,2.75,0,2016-01-22,KETOROLACO SUBLINGUAL,,,,$22.00
MED1084,100,0.75,0,2016-01-22,Ketorolaco tab,,,,$75.00
MED1090,250,1.2,0,2016-01-22,Loratadina tabletas,,,,$300.00
MED1041,50,1.375,0,2016-01-22,Metamizol Sodico INY C3,,,,$68.75
MED4410,180,2.083333333,0,2016-01-22,Naproxen Sodico tab,,,,$375.00
MED0276,100,0.8,0,2016-01-22,Paracetamol TABLETAS,,,,$80.00
MED4439,60,0.425,0,2016-01-22,Ranitidina tabletas,,,,$25.50
MED0322,200,2.45,0,2016-01-22,Sedalmerck tab,,,,$490.00
MAT0009,6,30,16,2016-01-22,Agua p/ Irrigacion 1000 CC,,,,$180.00
MAT0042,5,29,16,2016-01-22,Alcohol 1000 ml,,,,$145.00
MAT4051,136,1.176470588,16,2016-01-22,Conos oticos,,,,$160.00
MAT1188,50,8.5,16,2016-01-22,Eq. Venoclisis Normogotero,,,,$425.00
MAT4025,100,1.2,16,2016-01-22,Guantes Latex Grande esteril,,,,$120.00
MAT4493,2,45,16,2016-01-22,Jalea lubricante,,,,$90.00
MAT1171,200,1.5,16,2016-01-22,Jeringa de 3 ml,,,,$300.00
MAT1172,200,1.65,16,2016-01-22,Jeringa de 5 ml,,,,$330.00
MAT1174,12,25.83333333,16,2016-01-22,Prolene 3-0,,,,$310.00
MAT4027,12,27.91666667,16,2016-01-22,Prolene 4-0,,,,$335.00
MAT4027,12,27.91666667,16,2016-01-22,Prolene 4-0,,,,$335.00
MAT0738,7,9,16,2016-01-22,Puntas Nasales,,,,$63.00
MAT1173,15,8.5,16,2016-01-22,Sabana PARA CAMILLA,,,,$127.50
MAT4078,10,12,0,2016-01-22,Solucion Fisiologica de 100 ml,,,,$120.00
MAT1176,10,14.5,0,2016-01-22,Solucion Fisiologica de 250 ml,,,,$145.00
MAT1177,15,18,0,2016-01-22,Solucion Fisiologica de 500 ml,,,,$270.00
MAT4028,10,14.5,0,2016-01-22,Sol. Hartmann 250 ml,,,,$145.00
MAT1164,50,5.5,16,2016-01-22,Tiras acuchek performance,,,,$275.00
MAT1016,12,4,16,2016-01-22,Vendas 5 cm,,,,$48.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,0,0,00/00/0000,,,0,SUBTOTAL,"$7,472.58"
,,0,0,00/00/0000,,,0,TOTAL,"$8,668.20"
