,,,,FORMATO DE REQUISICI…N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,3000,1.07,0,14/03/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,"$3,210.00",
,50,8,0,14/03/2016,AMBROXOL SOL. ORAL FCO.,,,$400.00,
,30,5.5,0,14/03/2016,AMIKACINA 100MG/2ML AMP.,,,$165.00,
,800,1.48,0,14/03/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,"$1,184.00","$1,184.00"
,150,4.833333333,0,14/03/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,$725.00,$725.00
,60,0.2,0,14/03/2016,CAPTOPRIL 25MG TAB.,,,$12.00,$12.00
,30,7.9,0,14/03/2016,CLINDAMICINA 300MG AMP.,,,$237.00,$237.00
,80,15.8,0,14/03/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,"$1,264.00","$1,264.00"
,60,21,0,14/03/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,"$1,260.00","$1,260.00"
,120,21.5,0,14/03/2016,DEXTROMETORFANO + GUAIFENESINA JBE. INFANTIL FCO.,,,"$2,580.00","$2,580.00"
,100,35,0,14/03/2016,HIDROCORTISONA 100MG AMP.,,,"$3,500.00","$3,500.00"
,70,53,0,14/03/2016,HIDROCORTISONA 500MG AMP.,,,"$3,710.00","$3,710.00"
,1900,0.8,0,14/03/2016,LORATADINA 10MG GRAGEAS,,,"$1,520.00","$1,520.00"
,60,179,0,14/03/2016,MECLIZINA + PIRIDOXINA JARABE FCO.,,,"$10,740.00","$10,740.00"
,30,2.333333333,0,14/03/2016,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,$70.00,$70.00
,1500,0.62,0,14/03/2016,NAPROXENO 250MG TAB.,,,$930.00,$930.00
,30,17.5,0,14/03/2016,NEOMICINA + CAOLIN + PECTINA 36.65MG/500MG SUSP.,,,$525.00,$525.00
,20,228,0,14/03/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO // PATENTE,,,"$4,560.00","$4,560.00"
,120,19.16666667,0,14/03/2016,ONDANSETRON 8MG AMP.,,,"$2,300.00","$2,300.00"
,5,18,0,14/03/2016,OXIMETAZOLINA SOL. NASAL 25 MG FCO. NEB.,,,$90.00,$90.00
,5,18,0,14/03/2016,OXIMETAZOLINA SOL. NASAL 50 MG FCO. NEB.,,,$90.00,$90.00
,80,138,0,14/03/2016,PARACETAMOL 1GR/100ML AMP. // PATENTE,,,"$11,040.00","$11,040.00"
,10,62.4,0,14/03/2016,PROPOFOL 200MG/20ML AMP. ,,,$624.00,$624.00
,5,32.5,0,14/03/2016,SALBUTAMOL 100MCG SPRAY,,,$162.50,$162.50
,30,360,0,14/03/2016,SUCCINATO SODICO DE METILPREDNISOLONA 500MG AMP. + DISOLVENTE // PATENTE,,,"$10,800.00","$10,800.00"
,300,0.65,0,14/03/2016,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,,$195.00,$195.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
