FORMATO DE REQUISICI‡N,,,,,,,,,,
MEDICA GLOBAL ARSAIN SA DE CV,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
19,,,,,,14-ago-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
REFORMA,,,,,,MARIANA LOPEZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,6,43,16,2015-09-04,LIMPIADOR BLEM PLEDGE,,LIMPIEZA,,,
,3,21,16,2015-09-04,MOP BASTIDOR 1.20 PZA,,LIMPIEZA,,,
,3,18,16,2015-09-04,MOP BASTIDOR 90 CM ,,LIMPIEZA,,,
,5,11.5,16,2015-09-04,FIBRAS PARA TRASTES (CON ESPONJA),,LIMPIEZA,,,
,3,145,16,2015-09-04,PAPEL HIGIENICO BOBINA JUNIOR TORK,,LIMPIEZA,,,
,4,115,16,2015-09-04,TOALLA INTERDOBLADA TORK BLANCA C/2000,,LIMPIEZA,,,
,8,24,16,2015-09-04,"AROMATIZANTE WIESE 400ML  (EXCEPTO CANELA, FRESA, AMOUR)",,LIMPIEZA,,,
,7,4.5,16,2015-09-04,PASTILLA PARA BA•O 70 GMS WIESE PZA,,LIMPIEZA,,,
,1,17,16,2015-09-04,SERVILLETA BRISSA C/500,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
