,,,,,,,,,,,,,
,,,,,,,OC  ,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,SERVICIO MEDICOS DE EMERGENCIA,,,,,,,,
,,,,,,,REQ. DICIEMBRE,,,,,,
FECHA: ,,15-nov-16,,,,,,,,,,,
LUGAR DE ENTREGA: ,,ISSSTELEON / LUIS REZA,,,,,,,,,,,
PROVEEDOR:,,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA",
,2,8458.95,16,2016-11-15,AGENTE ESTERILIZANTE H202 20ML,,,," $16,917.90 ",,," $16,917.90 ",
,1,674.47,16,2016-11-15,CINTA ROLLO P/PLAMSA,,,, $674.47 ,,, $674.47 ,
,1,1676.33,16,2016-11-15,EMULATING INDICADOR 5.3 CLASS 6,,,," $1,676.33 ",,," $1,676.33 ",
,1,4245.65,16,2016-11-15,EMULSION P/LIMPIEZA DE CAMARAS DE ESTER. DIPNOX C270DIPNOX LTS,,,," $4,245.65 ",,," $4,245.65 ",
,1,10470.22,16,2016-11-15,HELIX LOADCHECK 3.5MIN A 134 C V3502030,,,," $10,470.22 ",,," $10,470.22 ",
,2,326.2,16,2016-11-15,PAPEL TERMICO P/IMPRESION 80 SES,,,, $652.40 ,,, $652.40 ,
,1,332.2,16,2016-11-15,ROLLO DE PAPEL GRADO MEDICO 100MMX200M,,,, $332.20 ,,, $332.20 ,
,1,632.39,16,2016-11-15,ROLLO DE PAPEL GRADO MEDICO 200MMX200M,,,, $632.39 ,,, $632.39 ,
,2,978.6,16,2016-11-15,ROLLO DE TYVECK ESTERIROLL 100 (C050ESTRIL 100) PLASMA BLANCO,,,," $1,957.20 ",,," $1,957.20 ",
,1,2061.28,16,2016-11-15,ROLLOS DE TYVEK ESTERIROLL 200 (C050ESTRIL 200) PLASMA BLANCO,,,," $2,061.28 ",,," $2,061.28 ",
,1,2372.42,16,2016-11-15,TIRAS BOWIR AND DICK ,,,," $2,372.42 ",,," $2,372.42 ",
,1,2805.4,16,2016-11-15,DETERGENTE 4 ZYME,,,," $2,805.40 ",,," $2,805.40 ",
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,,,,, $-   ,
,,,,,,,,SUBTOTAL,,,," $44,797.86 ",
,,,,,,,,IVA,,,," $7,167.66 ",
,,,,,,,,TOTAL,,,," $51,965.52 ",
