,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,FORMATO CARGA,06-may-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
AMERICAS,,,,,,GEOVANA ESCOBEDO,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,4,9.09,16,2016-05-06,MARCADOR SHARPIE FINO NGO. PERMANENTE,,1,9.09, $36.36 
,2,5.63,16,2016-05-06,RESALTADOR HI-LITER AMARILLO,,1,5.63, $11.26 
,1,13.56,16,2016-05-06,ETIQUETAS AUTO-ADHERIBLES MOD 23. 19 X 38 C/600,,600,13.56, $13.56 
,2,85.98,16,2016-05-06,FOLDER ECONOFILE CARTA CREMA CON 100,,100,85.98, $171.96 
,20,46.76,16,2016-05-06,PAPEL SPEED COPY CARTA C/500,,500,46.76, $935.20 
,1,21.16,16,2016-05-06,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400,,400,21.16, $21.16 
,200,1.78,16,2016-05-06,SOBRE BOLSA T EXTRA OFICIO AMARILLO 25.5 X 34.0 C/50,,1,1.78, $356.00 
,100,1.28,16,2016-05-06,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,,1,1.28, $128.00 
,1,28.55,16,2016-05-06,BROCHE BACO BR182 MET 8CM,,100,28.55, $28.55 
,1,126.7,16,2016-05-06,BROCHE PARA GAFETE BARRILITO CAI501 MET.,,100,126.7, $126.70 
,2,41.56,16,2016-05-06,CARPETA KINERA 2P.O.BCO.9201BL,,1,41.56, $83.12 
,1,10.74,16,2016-05-06,CLIP BACO # 1 NIQUELADO CON 100 NIQ1,,1,10.74, $10.74 
,1,20.22,16,2016-05-06,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD,,1,20.22, $20.22 
,100,0.38,16,2016-05-06,SOBRE FORTEC BCO OFI T/CORRESPONDENCIA,,1,0.38, $38.00 
,4,149.33,16,2016-05-06,CD-R VERBATIM C/50 94691,,50,149.33, $597.32 
,5,115.76,16,2016-05-06,ETIQUETA AVERY 5692 C/40 PARA CD,,40,115.76, $578.80 
,4,27.4,16,2016-05-06,SOBRES FORTEC P/CD BCO C/50,,50,27.4, $109.60 
,2,9.58,16,2016-05-06,CUADERNO SCRIBE S7970 PROF 1R ESP 100H,,1,9.58, $19.16 
,1,52,16,2016-05-06,ETIQUETA JANEL 2.6 X 6.7 CM C/25,,1,52, $52.00 
,1,104.46,16,2016-05-06,MICA GBC 1209 11.5 X 8 C/100,,1,104.46, $104.46 
,1,79.98,16,2016-05-06,PROTECTOR DE HOJAS KINERA CARTA CON 100,,100,79.98, $79.98 
,,,,,,,,," $3,522.15 "
,,,,,,,,," $4,085.69 "
