FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
36,,,,,,02-nov-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
LAS AMERICAS,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,1,12.59,16,04/11/2015,ETIQUETAS AUTO-ADHERIBLES MOD 19 X 38 C/600,,,,,
,1,83.04,16,04/11/2015,"FOLDER ECONOFILE 1201,OFI. CREMA CON 100",,,,,
,20,39.9,16,04/11/2015,HOJAS P/ IMPRESIONES TAMANO CARTA 8.5 X 11 C.M,,,,,
,3,18.44,16,04/11/2015,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400,,,,,
,75,1.98,16,04/11/2015,BOLIGRAFO BIC M-250-A P.M. AZUL,,,,,
,75,1.98,16,04/11/2015,BOLIGRAFO BIC M-250-N P.M. NEGRO,,,,,
,50,4.64,16,04/11/2015,SOBRE FORTEC BCO RAD 40X50 T/BSA B40RAB,,,,,
,400,1.44,16,04/11/2015,SOBRE FORTEC ANTE OFI 24X34 B24MG,,,,,
,1,60.12,16,04/11/2015,PAPEL SPEED COPY BOND OFI PAQ C/500,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
