,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1,482.04,16,2016-04-25,REACTIVO GLUCOSA (GLUC2) COBAS C111  4 X 100 (ROCHE),,,,
,1,756,16,2016-04-25,REACTIVO TRIGLICERIDOS (TRIGL) COBAS C111 4 X 50 (ROCHE),,,,
,1,396.75,16,2016-04-25,REACTIVO CREATININA (CREJ2) COBAS C 111 4 X 100 (ROCHE),,,,
,1,470,16,2016-04-25,REACTIVO VDRL,,,,
,1,2657.46,16,2016-04-25,CELLPACK,,,,
,1,3277.25,16,2016-04-25,STROMATOLYSER 4DS (1 SOBRE DE 42 mL),,,,
,1,3432.75,16,2016-04-25,STROMATOLYSER 4DL,,,,
,1,460,16,2016-04-25,HEMASCREEN,,,,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,, $-   ,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,2016-04-18,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
,,,,,,,, $-   ,
