STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,,,,,,,,,,,,,,
,1050,0,0,2016-07-06,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,,,,,,,,,,,,,,,
,1050,0,0,2016-07-06,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,,,,,,,,,,,,,,,
,945,0,0,2016-07-06,ATORVASTATINA 10MG C/20 TAB.,2762,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-07-06,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-07-06,PARACETAMOL 1GR C/20 TAB.,810,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-07-06,DICLOFENACO 1.160% GEL C/60GR,371,,,,,,,,,,,,,,,,,,,
,735,0,0,2016-07-06,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,,,,,,,,,,,,,,,,,,,
,630,0,0,2016-07-06,IBUPROFENO 400MG C/10 TAB.,2678,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-07-06,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-07-06,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,,,,,,,,,,,,,,,
,525,0,0,2016-07-06,ESPORAS DE BACILLUS CLAUSII 2 BILLONES UFC C/20 AMP.,1126,,,,,,,,,,,,,,,,,,,
,473,0,0,2016-07-06,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,CEFALEXINA 500MG C/20 CAP.,169,,,,,,,,,,,,,,,,,,,1
,420,0,0,2016-07-06,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,LORATADINA 10MG C/20 GRAGEAS,496,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,,,,,,,,,,,,,,,,,
,420,0,0,2016-07-06,LOSARTAN 50MG C/30 TAB.,2602,,,,,,,,,,,,,,,,,,,
,378,0,0,2016-07-06,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-07-06,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-07-06,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,,,,,,,,,,,,,,,,,
,368,0,0,2016-07-06,DAPAGLIFOZINA 10MG C/14 TAB.,2952,,,,,,,,,,,,,,,,,,,
,357,0,0,2016-07-06,FENOFIBRATO 160MG C/30 CAP.,1190,,,,,,,,,,,,,,,,,,,
,336,0,0,2016-07-06,DIACEREINA 50MG C/30 CAP.,226,,,,,,,,,,,,,,,,,,,
