FORMATO DE REQUISICI?N,,,,,,
(RAZON SOCIAL),,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,
DESTINO:,,,,,,ELABORADO POR:
,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
MED4432,30,7.4,0,22/01/2016,Bonadoxina INY,
MED4419,70,0.4875,0,22/01/2016,Clorfenamina TAB,
MED01168,12,3.3,0,22/01/2016,Furosemide iny,
MED1030,3,1.1,0,22/01/2016,Ibuprofen 400mg tab,
MED0196,120,1.6,0,22/01/2016,Ibuprofeno 800mg tab,
MED0223,36,0.791666667,0,22/01/2016,Loperamida 2 mg,
MED0235,100,0.85,0,22/01/2016,Metamizol Sodico TABLETAS C10,
MED4492,20,1.95,0,22/01/2016,Nifedipino 5MG SUBLINGUAL,
MED1062,30,3.4,0,22/01/2016,Propanolol,
MED0317,240,28.5,0,22/01/2016,Rosel 50 SOL 60ML,
MED4493,50,2.39,0,22/01/2016,Agua inyectable 5 ml,
MAT0047,2,32.9,16,22/01/2016,Algohodon paquete PLIZADO 300GR,
MAT0171,2,125,16,22/01/2016,Canula nasofaringea 24 Fr,
MAT1170,10,16,16,22/01/2016,Campo esteril 65X50,
MAT4043,500,1.06,16,22/01/2016,Gasas esteriles 10 x 10,
MAT4016,100,1.195,16,22/01/2016,Guantes Latex Mediano esteril,
MAT0552,1,270,16,22/01/2016,Isodine galon ESPUMA,
MAT0667,10,22.5,16,22/01/2016,Pilas AA,
MAT0669,10,46,16,22/01/2016,Pilas C,
MAT4060,50,8.5,16,22/01/2016,Cateter intravenoso 18,
MAT4494,50,8.5,16,22/01/2016,Cateter intravenoso 16,
MAT4495,50,8.5,16,22/01/2016,Cateter intravenoso 22,
MAT0745,10,3.15,16,22/01/2016,Rastrillo,
MAT1175,2,27,0,22/01/2016,Solucion gluc 50%,
MAT4496,3,14.9,16,22/01/2016,Sonda nasogastrica FR 18,
MAT1119,3,9.9,16,22/01/2016,Termometro de mercurio,
MAT4497,1000,52.4,16,22/01/2016,Tegaderm Pza de 9 x 10 cm,
