,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,28-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,1000,1.6,16,29/07/2016,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,,"$1,600.00"
,2,718.08,16,29/07/2016,ANTIGENO TENIDO ROSA BENGALA FCO. 5ML,,,,"$1,436.16"
,4000,0.26,16,29/07/2016,CUBREOBJETOS 22X22,,,,"$1,040.00"
,50,88,16,29/07/2016,HELICOBACTER PYLORI (HECES) PRUEBA,,,,"$4,400.00"
,50,9.42,16,29/07/2016,PLACA D/AGAR MUELLER-HINTON,,,,$471.00
,100,11.81,16,29/07/2016,PLACA D/AGAR SAL-MANITOL,,,,"$1,181.00"
,30,10.92,16,29/07/2016,PLACA DE AGAR EMB,,,,$327.60
,30,9.42,16,29/07/2016,PLACA DE AGAR SALMONELLA-SHIGELLA,,,,$282.60
,50,14.98,16,29/07/2016,PLACA DE AGAR SANGRE,,,,$749.00
,400,14.98,16,29/07/2016,PLACA DE AGAR SANGRE CON AZIDA,,,,"$5,992.00"
,20,11.81,16,29/07/2016,PLACA DE AGAR XLD,,,,$236.20
,10,43.52,16,29/07/2016,PLACA DE BBL CHROMAGAR STAPH AUREUS,,,,$435.20
,800,3.24,16,29/07/2016,RPR CAJA C/200 PRUEBAS,,,,"$2,592.00"
,630,28.44,16,29/07/2016,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,,"$17,917.20"
,4000,1.6,16,29/07/2016,TUBOS VACUTAINER TAPON LILA 4ML,,,,"$6,400.00"
,50,11.92,16,29/07/2016,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,,$596.00
,50,11.92,16,29/07/2016,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,,$596.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$46,251.96"
,,,,,,,,,"$7,400.31"
,,,,,,,,,"$53,652.27"
