,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,5,2237,16,25/02/2016,"COBAS INTEGRA UA2, TRIG 250",,,,"$11,185.00"
,3,5279,16,25/02/2016,ACTIVATOR FOR COBRAS INTEGRA ,,,,"$15,837.00"
,2,6328,16,25/02/2016,CELLPACK 20L (PK30L),,,,"$12,656.00"
,5,5450,16,25/02/2016,ELECSYS ESTRADIOL II CALSET (LYO) Y TSH,,,,"$27,250.00"
,3,5698,16,25/02/2016,"CALSET PROGESTERONA,FT3,FT4",,,,"$17,094.00"
,2,7385,16,25/02/2016,AVL HB CALIBRATOR 5XIML,,,,"$14,770.00"
,3,7451,16,25/02/2016,"COMBITROL PLUS LEVEL 1,2,3",,,,"$22,353.00"
,5,3477,16,25/02/2016,EMPTY 150 STRIPS OF 4 CUVETTES,,,,"$17,385.00"
,4,12665,16,25/02/2016,E-CHECK (XE) 4X4.5MLX3 LOW/NORM/HIGH,,,,"$50,660.00"
,3,2809,16,25/02/2016,"ISE STANDARD LOW, MED, HIGH",,,,"$8,427.00"
,2,14477,16,25/02/2016,"HBA1C TQ 3.150 TESTS, COBAS C 501",,,,"$28,954.00"
,4,11029,16,25/02/2016,PRECICONTROL UNIVERSAL G.2 ,,,,"$44,116.00"
,4,6917,16,25/02/2016,S 1 RINSE SOLUTION OMNI S,,,,"$27,668.00"
,3,21152,16,25/02/2016,S 3 FLUID PACK A OMNI S,,,,"$63,456.00"
,4,14182,16,25/02/2016,"STROMATOLYSER 4DL, 4DS Y 5L ",,,,"$56,728.00"
,3,6080,16,25/02/2016,STA-NEOPLASTIN PLUS 12X10 ML.,,,,"$18,240.00"
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
