,,,,FORMATO DE REQUISICION,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,14-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA NAIOMI HERNANDEZ MONTFORT,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,1250,0,0,14/09/2016,OMEPRAZOL 20MG C/14 CAP.,,,0,0
,893,0,0,14/09/2016,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,,,0,0
,763,0,0,14/09/2016,PANTOPRAZOL 40MG C/14 GRAGEAS,,,0,0
,655,0,0,14/09/2016,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,,,0,0
,500,0,0,14/09/2016,ATORVASTATINA 10MG C/20 TAB.,,,0,0
,650,0,0,14/09/2016,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,,,0,0
,350,0,0,14/09/2016,ATORVASTATINA 20MG C/10 TAB.,,,0,0
,500,0,0,14/09/2016,ACIDO ACETILSALICILICO 100MG C/30 TAB.,,,0,0
,500,0,0,14/09/2016,PARACETAMOL 1GR C/20 TAB.,,,0,0
,350,0,0,14/09/2016,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NI 3/4 O FCO. C/90 DISP. Y 1,,,0,0
,475,0,0,14/09/2016,IBUPROFENO 400MG C/10 TAB.,,,0,0
,446,0,0,14/09/2016,DICLOFENACO 1.160% GEL C/60GR,,,0,0
,400,0,0,14/09/2016,KETOROLACO TROMETAMINA 10MG C/10 TAB.,,,0,0
,300,0,0,14/09/2016,PIOGLITAZONA 30MG C/7 TAB.,,,0,0
,400,0,0,14/09/2016,PARACETAMOL 500MG C/10 TAB.,,,0,0
,368,0,0,14/09/2016,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,,,0,0
,355,0,0,14/09/2016,AMLODIPINO 5MG C/10 TAB.,,,0,0
,250,0,0,14/09/2016,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,,,0,0
,338,0,0,14/09/2016,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,,,0,0
,325,0,0,14/09/2016,PREGABALINA 75MG C/28 CAP.,,,0,0
,354,0,0,14/09/2016,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,,,0,0
,324,0,0,14/09/2016,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,,,0,0
,320,0,0,14/09/2016,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",,,0,0
,302,0,0,14/09/2016,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,,,0,0
,300,0,0,14/09/2016,SENOSIDOS A-B 374MG C/30 TAB.,,,0,0
,300,0,0,14/09/2016,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,,,0,0
,285,0,0,14/09/2016,DEXLANSOPRAZOL 30MG C/14 CAP.,,,0,0
