,,,,FORMATO DE REQUISICI‡N,,,,
,,,,benefic quirofano,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
A5,,,,,,08-mar-06,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON ,,,,,,LUIS  REZA,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,36,104.16,16,08/03/2016,Vicril 5-0 aguja redonda clave J303H,,,
,36,85.83,16,08/03/2016,Vicril 4-0 aguja redonda clave J310H,,,
,36,85.83,16,08/03/2016,Vicril 3-0 aguja redonda clave J311H,,,
,36,122.16,16,08/03/2016,Vicril 5-0 aguja cortante clave J493G,,,
,36,112.75,16,08/03/2016,Cromico 5-0 aguja redonda clave U202T,,,
,72,77.57,16,08/03/2016,MONOSYN  3-0 REF  0023215,,,
,72,117.4,16,08/03/2016,SAFIL QUICK  5-0 REF  1046619,,,
,72,57.125,16,08/03/2016,SAFIL QUICK  4-0 REF 1046220,,,
,5,194,16,08/03/2016,JERINGA DE VIDRIO  10ML,,,
,5,158,16,08/03/2016,JERINGA DE VIDRIO 5ML ,,,
,20,123,16,08/03/2016,AGUJA # 18 P/EPIDURAL ,,,
