FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,07-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
FARMACIA AR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,12,10.2,0,07/11/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,2,$10.20,$122.40
,25,14.49,0,07/11/2016,KETOROLACO 30MG AMP.,,3,$14.49,$362.25
,15,7.2,0,07/11/2016,ENALAPRIL 10 MG C/30 TABS,,30,$7.20,$108.00
,20,8,0,07/11/2016,AMBROXOL SOL. ORAL FCO. 120 ML,,1,$8.00,$160.00
,20,11.5,0,07/11/2016,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000U AMP.",,1,$11.50,$230.00
,20,25,0,07/11/2016,DEXTROMETORFANO + GUAIFENESINA JBE. INFANTIL FCO.,,1,$25.00,$500.00
,15,13.1,0,07/11/2016,"BENCILPENICILINA BENZATINICA 1200,000 3 ML",,1,$13.10,$196.50
,15,15.2,0,07/11/2016,BENZONATATO C/20  100MG,,20,$15.20,$228.00
,15,9.38,0,07/11/2016,OMEPRAZOL CAPSULA 20 MG C/14,,14,$9.38,$140.70
,10,71.52,0,07/11/2016,BUSCAPINA 10 MG TABS C/12 /PATENTE,,12,$71.52,$715.20
,25,27,0,07/11/2016,CEFTRIAXONA 1G/10ML SOL. INY.,,1,$27.00,$675.00
,10,181.16,0,07/11/2016,CLOPIDOGREL 75MG TAB.,,28,$181.16,"$1,811.60"
,15,12.6,0,07/11/2016,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN C/30,,30,$6.20,$93.00
,10,8,0,07/11/2016,GLIBENCLAMIDA 5 mg TAB C/50,,50,$8.00,$80.00
,15,15.6,0,07/11/2016,IBUPROFENO JARABE 120 ML,,1,$15.60,$234.00
,15,38.7,0,07/11/2016,KETOROLACO/TRAMADOL 10/25MG C/10 CAP ,,10,$38.70,$580.50
,20,28.8,0,07/11/2016,LORATADINA + BETAMETASONA 100/5MG SOL. PED.,,1,$28.80,$576.00
,10,15,0,07/11/2016,LOSARTAN 50MG GRAGEAS,,30,$15.00,$150.00
,15,20.8,0,07/11/2016,NAPROXENO 250MG TAB.,,20,$20.80,$312.00
,30,9,0,07/11/2016,PARACETAMOL GTS 30ML ,,1,$9.00,$270.00
,15,7.6,0,07/11/2016,RANITIDINA 150MG TAB.C/20,,20,$7.60,$114.00
,10,20.6,0,07/11/2016,Senosidos ayb c/20,,20,$20.60,$206.00
