STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,2,461.04,0.16,05/01/2016,ACEITE LUBRICANTE (PANASPRAY),
,1000,2.8764,0.16,05/01/2016,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,
,500,27.26358,0.16,05/01/2016,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,
,500,8.8066,0.16,05/01/2016,ANESTESIA AL 2%,
,200,8.8066,0.16,05/01/2016,ANESTESIA AL 3%,
,3,48.84,0.16,05/01/2016,ANESTESIA TOPICA FCO. 30GR,
,900,2.434766667,0.16,05/01/2016,BOLSAS DESECHABLES PARA PLACAS DENTAL NO. 2,
,500,6.7744,0.16,05/01/2016,BOQUILLAS PARA FLORURO CHICAS SULTAN,
,500,6.7744,0.16,05/01/2016,BOQUILLAS PARA FLORURO GRANDES SULTAN,
,100,8.25,0.16,05/01/2016,CEPILLOS CERDA NEGRA MANDIL LARGO PIEZA,
,25,97.23,0.16,05/01/2016,ESPEJO BUCAL NO. 5 HU FRIEDY,
,500,2.8768,0.16,05/01/2016,EYECTORES DE SALIVA MONOJET,
,20,20.88,0.16,05/01/2016,FRESA DE BOLA NO. 1 JET,
,20,20.88,0.16,05/01/2016,FRESA DE BOLA NO. 2 JET,
,20,20.88,0.16,05/01/2016,FRESA DE BOLA NO. 3 JET,
,100,20.88,0.16,05/01/2016,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,
,30,32.99,0.16,05/01/2016,FRESA DIAMANTE NO. 1062 TF11,
,50,68.27,0.16,05/01/2016,FRESA QUIRURGICA 151-Z MANO ALTA MANGO DORADO ZECRYA,
,1,4718.96,0.16,05/01/2016,"KIT DE RESINAS 3M, JERINGAS, ACIDO Y SINGLE BOND",
,2,957.7,0.16,05/01/2016,"KIT DE SELLADORES 3M, JERINGAS, SELLADOR, ACIDO Y SINGLE BOND",
,2,428.57,0.16,05/01/2016,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,
,12,58.97,0.16,05/01/2016,OXIDO DE ZINC DENTSPLY,
,100,0.6944,0.16,05/01/2016,PANOS EXPRIMIDORES DE AMALGAMA C/50,
,2,836.08,0.16,05/01/2016,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,
,250,18.4942,0.16,05/01/2016,TABLETAS PARA COLOCAR EN LAS BOTELLAS DE AGUA ADEC,
,200,0.2642,0.16,05/01/2016,TIRAS DE CELULOIDE,
,500,5.8688,0.16,05/01/2016,TOALLAS INTERDOBLADA SURTIDA,
,5,963.14,0.16,05/01/2016,TURBINAS PARA PIEZA DE MANO STARDENTAL,
,1000,0.444,0.16,05/01/2016,VASOS DESECHABLES,
