,,,,FORMATO DE REQUISICI?N,,,,
,,,,(RAZON SOCIAL),,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,1,750,16,28/03/2016,PULSOXIMETRO   ,,,
,2,74,0,28/03/2016,CALAMINA SUSPENSION TOPICA,,,
,28,4.6,0,28/03/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,
,2,102,0,28/03/2016,POLIXIN OFTENO GOTAS OFTAMCAS ,,,
,1,26,0,28/03/2016,SULFADIACINA DE PLATA MICRONIZADA CREMA AL 1% TUBO DE 160GR,,,
