FORMATO DE REQUISICION,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,08-12.2016,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA HERNANDEZ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2,0,0,08/12/2016,OCTREOTIDA LAR 20MG I.M. AMP.,2751,,,
,3,0,0,08/12/2016,DARBEPOETINA ALFA 500MCG JER. PRELLENADA,2985,,,
,2,0,0,08/12/2016,CAPECITABINA 500MG C/120 GRAGEAS,898,,,
,1,0,0,08/12/2016,DARBEPOETINA ALFA 300MCG JER. PRELLENADA,2984,,,
,8,0,0,08/12/2016,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,
,10,0,0,08/12/2016,ETANERCEPT 25MG FCO. C/4 AMP.,349,,,
,3,0,0,08/12/2016,LINEZOLID 600MG C/10 TAB.,1060,,,
,2,0,0,08/12/2016,LOPINAVIR + RITONAVIR 200MG/50MG C/120 TAB.,1759,,,
,2,0,0,08/12/2016,LEUPRORELINA 22.5MG C/1 AMP.,2911,,,
,3,0,0,08/12/2016,"ERITROPOYETINA HUMANA 50,000UI/10ML INY. C/1 AMP.",2717,,,
,2,0,0,08/12/2016,FLUDROCORTISONA 0.1MG C/100 TAB.,1316,,,
,10,0,0,08/12/2016,BUPRENORFINA 30MG C/4 PARCHES (II),2758,,,
,20,0,0,08/12/2016,ANASTROZOL 1MG C/28 TAB.,35,,,
,5,0,0,08/12/2016,APIXABAN 2.5MG C/60 TAB.,3019,,,
,3,0,0,08/12/2016,APIXABAN 5MG C/60 TAB.,3020,,,
,8,0,0,08/12/2016,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,
,8,0,0,08/12/2016,ESPIRONOLACTONA 100MG C/30 TAB.,2573,,,
,10,0,0,08/12/2016,RIVAROXABAN 20MG C/28 COMP.,2937,,,
,10,0,0,08/12/2016,DESVENLAFAXINA 50MG C/28 COMP.,2905,,,
,10,0,0,08/12/2016,ANFEBUTAMONA 150MG LIB. PROL. C/30 TAB.,891,,,
,70,0,0,08/12/2016,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,
,20,0,0,08/12/2016,ENOXAPARINA SODICA 60MG/0.4ML C/2 JER.S PRELLENADAS,2496,,,
,65,0,0,08/12/2016,RALOXIFENO 60MG C/28 TAB.,324,,,
,15,0,0,08/12/2016,LEVODOPA + CARBIDOPA + ENTACAPONA 200MG/100MG/25MG C/30 TAB.,564,,,
,5,0,0,08/12/2016,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228,,,
,25,0,0,08/12/2016,RISPERIDONA 2MG C/20 TAB.,2698,,,
,17,0,0,08/12/2016,GLICOPIRRONIO + INDACATEROL C/30 CAP. INHALACION,3017,,,
,100,0,0,08/12/2016,TRIAZOLAM 0.250MG C/30 TAB.,582,,,
,15,0,0,08/12/2016,TEGASEROD 6MG C/30 COMP.,912,,,
,150,0,0,08/12/2016,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,,,
,150,0,0,08/12/2016,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,,,
,90,0,0,08/12/2016,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,,,
,10,0,0,08/12/2016,LACOSAMIDA 100MG C/28 TAB.,2990,,,
,25,0,0,08/12/2016,MOXIFLOXACINO + DEXAMETASONA SOL. OFT. GOTAS FCO C/5ML,2923,,,
,40,0,0,08/12/2016,MEMANTINA 10MG C/28 TAB.,83,,,
,350,0,0,08/12/2016,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,
,25,0,0,08/12/2016,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179,,,
,30,0,0,08/12/2016,AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.,2948,,,
,20,0,0,08/12/2016,CEFTIBUTEN 400MG C/10 CAP.,168,,,
,15,0,0,08/12/2016,NICERGOLINA 30MG C/20 GRAGEAS,767,,,
,15,0,0,08/12/2016,SALMETEROL + FLUTICASONA 50MCG/500MG FCO. C/60 DOSIS,2738,,,
,10,0,0,08/12/2016,DIPROPINATO DE BETAMETASONA + CALCIPOTRIOL 5MG/50MG TUBO UNGUENTO C/30GR,1026,,,
,30,0,0,08/12/2016,SALMETEROL + FLUTICASONA 25/125 FCO.,2468,,,
,17,0,0,08/12/2016,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,,,
,8,0,0,08/12/2016,BACLOFENO 10MG C/100 TAB.,2980,,,
,25,0,0,08/12/2016,MICOFENOLATO DE MOFELITO 500MG C/50 TAB.,1648,,,
,200,0,0,08/12/2016,FENOFIBRATO 160MG C/30 CAP.,1190,,,
,50,0,0,08/12/2016,INSULINA LISPRO C/1000 UNIDADES,419,,,
,80,0,0,08/12/2016,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,
,10,0,0,08/12/2016,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,,,
,30,0,0,08/12/2016,SALMETEROL + FLUTICASONA 50/100MCG SOL. INHAL C/60 DOSIS,2493,,,
,25,0,0,08/12/2016,TERAZOSINA 5MG C/30 TAB.,9,,,
