,,,,FORMATO DE REQUISICION,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,200,0.66,16,22/03/2016,AGUJA DESECHABLE 20X32MM,,,,$132.00
,200,0.66,16,22/03/2016,AGUJA DESECHABLE 23X25MM,,,,$132.00
,300,0.66,16,22/03/2016,AGUJA DESECHABLE 25X16MM,,,,$198.00
,100,0.66,16,22/03/2016,AGUJA DESECHABLE 22X32MM,,,,$66.00
,48,21,16,22/03/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,"$1,008.00"
,200,6.5,16,22/03/2016,BATA ESTERIL DESECHABLE,,,,"$1,300.00"
,100,0.91,16,22/03/2016,BOLSA ROJA,,,,$91.00
,24,11.25,16,22/03/2016,"MICROPORE 1""",,,,$270.00
,24,13.3,16,22/03/2016,"TRANSPORE 1""",,,,$319.20
,250,5,16,22/03/2016,FUNDA DESECHABLE PARA ALMOHADA 50X70CM,,,,"$1,250.00"
,1700,0.67,16,22/03/2016,GUANTES LATEX MEDIANOS,,,,"$1,142.40"
,100,4,16,22/03/2016,JERINGA 20CC SIN AGUJA,,,,$400.00
,100,1.88,16,22/03/2016,JERINGA 10CC (22X32),,,,$188.00
,10,19.5,16,22/03/2016,RECOLECTOR P/MATERIAL PUNZOCORTANTE DE 1.4,,,,$195.00
,300,11,16,22/03/2016,SABANA CON ELASTICO 1.20X2.40X0.14,,,,"$3,300.00"
,15,45,16,22/03/2016,BOLSA DE TORUNDAS DE ALGODON,,,,$675.00
,120,4.5,16,22/03/2016,VENDA ELASTICA 10CMX4.5MTS,,,,$540.00
,144,2.4,16,22/03/2016,VENDA ELASTICA 5CMX4.5MTS,,,,$345.60
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
