,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,3,482.04,16,2016-03-23,REACTIVO GLUCOSA (GLUC2) COBAS C111  4 X 100 (ROCHE),,,,
,2,2657.46,16,2016-03-23,CELLPACK,,,,
,2,303.45,16,2016-03-23,ISE DEPROTEINIZER (21 mL),,,,
,2,120,16,2016-03-23,AGUA DESIONIZADA,,,,
,2,2184,16,2016-03-23,MICRO CUVETTE SEGMENT  COBAS C 111  (ROCHE),,,,
,1,908.7,16,2016-03-23,CLEANER,,,,
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
