STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,
,4,9.73,16,2016-07-04,MARCADOR SHARPIE FINO NGO. PERMANENTE,, $38.92 ,MAPLUSA,,
,5,13.56,16,2016-07-04,ETIQUETAS AUTO-ADHERIBLES MOD 23 19 X 38 C/600,, $67.80 ,MAPLUSA,,
,2,85.98,16,2016-07-04,FOLDER ECONOFILE CARTA CREMA CON 100,, $171.96 ,MAPLUSA,,
,1,103.33,16,2016-07-04,FOLDER ECONOFILE 1201 OFI. CREMA CON 100,, $103.33 ,MAPLUSA,,
,10,46.76,16,2016-07-04,PAPEL SPEED COPY CARTA CON 500 HOJAS,, $467.60 ,MAPLUSA,,
,3,21.16,16,2016-07-04,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400,, $63.48 ,MAPLUSA,,
,300,1.78,16,2016-07-04,SOBRE FORTEC ANTE B26MG EXT.OF.26X34CM,, $534.00 ,MAPLUSA,,
,100,1.28,16,2016-07-04,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,, $128.00 ,MAPLUSA,,
,3,28.55,16,2016-07-04,BROCHE BACO BR182 MET 8CM,, $85.65 ,MAPLUSA,,
,1,10.74,16,2016-07-04,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,, $10.74 ,MAPLUSA,,
,1,20.22,16,2016-07-04,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD 400-C,, $20.22 ,MAPLUSA,,
,100,1.65,16,2016-07-04,SOBRE FORTEC ANTE OFI 24X34 B24MG,, $165.00 ,MAPLUSA,,
,5,149.33,16,2016-07-04,CD-R VERBATIM C/50 94691,, $746.65 ,MAPLUSA,,
,7,115.76,16,2016-07-04,ETIQUETA AVERY 5692 C/40 PARA CD,, $810.32 ,MAPLUSA,,
,5,27.4,16,2016-07-04,SOBRES FORTEC P/CD BCO C/50,, $137.00 ,MAPLUSA,,
,4,10.28,16,2016-07-04,CUADERNO SCRIBE S7970 PROF 1R ESP 100H,, $41.12 ,MAPLUSA,,
,10,2.96,16,2016-07-04,LAPIZ BEROL MIRADO NUM 2 HEXAGONAL MEDIANO,, $29.60 ,MAPLUSA,,
,5,1.61,16,2016-07-04,BORRADOR PELIKAN WS-30 BLANCO,, $8.05 ,MAPLUSA,,
,1,104.46,16,2016-07-04,MICA GBC 1209 11.5 X 8 C/100,, $104.46 ,MAPLUSA,,
,2,16.61,16,2016-07-04,TIJERA OFICINA NO. 6 D-6B DELTA,, $33.22 ,MAPLUSA,,
,1,102.35,16,2016-07-04,CALCULADORA CELICA CA-313 12D ESCR.,, $102.35 ,MAPLUSA,,
,2,9.44,16,2016-07-04,PEGAMENTO KORES 20G T/LAPIZ,, $18.88 ,MAPLUSA,,
,6,14.19,16,2016-07-04,CINTA 3M 550 19X33 TRANSPARENTE,, $85.14 ,MAPLUSA,,
,2,27.19,16,2016-07-04,CORRECTOR ZEBRA ROLLER 2000 TIPO PLUMA,, $54.38 ,MAPLUSA,,
,2,45.37,16,2016-07-04,MARCADOR MAGISTRAL DID.C/4 COLORES,, $90.74 ,MAPLUSA,,
,,,,,,," $4,118.61 ",,,
,,,,,,," $4,777.59 ",TOTAL NETO,,
