,,,,FORMATO DE REQUISICI…N,,,,
,,,,UBOLD,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,06-may-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,100,4.1,0,06/05/2016,ADRENALINA 0.001G/1ML AMP. ,,,$410.00
,60,109,0,06/05/2016,ALIN DEPOT AMP 8MG EN 2ML ,,,"$6,540.00"
,150,21.5,0,06/05/2016,AMOXICILINA + ACIDO CLAVULANICO 200MG/285MG/5ML FCO.,,,"$3,225.00"
,600,1,0,06/05/2016,AMPICILINA 500MG CAP.,,,$600.00
,100,7,0,06/05/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,$700.00
,50,21,0,06/05/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,"$1,050.00"
,150,30.4,0,06/05/2016,BUDESONIDA .125MG NEB. // PATENTE,,,"$4,560.00"
,1200,4.83,0,06/05/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,"$5,796.00"
,60,22.5,0,06/05/2016,CEFALOTINA 1GR/5ML AMPULA,,,"$1,350.00"
,350,31.5,0,06/05/2016,CEFTRIAXONA 1G/10ML SOL. INY.,,,"$11,025.00"
,7,429,0,06/05/2016,CIPROFLOXACINO 400MG FCO. 200ML ,,,"$3,003.00"
,50,15,0,06/05/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,$750.00
,60,12.3,0,06/05/2016,CLORANFENICOL SOL. OFT. ,,,$738.00
,70,9.6,0,06/05/2016,CLORFENAMINA 50MG. JBE. FCO. 120ML,,,$672.00
,80,8.9,0,06/05/2016,DEXTROMETORFANO 15MG/5ML JARABE FCO.,,,$712.00
,1500,0.47,0,06/05/2016,DICLOFENACO 100MG TAB.C/10,,,$705.00
,100,33.9,0,06/05/2016,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,"$3,390.00"
,400,5.75,0,06/05/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,"$2,300.00"
,60,16.5,0,06/05/2016,DICLOXACILINA SUSP. 250MG FCO.,,,$990.00
,200,4.75,0,06/05/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,,$950.00
,25,17,0,06/05/2016,DIMENHIDRINATO 25MG SUP.,,,$425.00
,40,0.32,0,06/05/2016,DINITRATO DE ISOSORBIDA 10 MG TAB.,,,$12.80
,20,19.7,0,06/05/2016,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 2ML SOL. INY. // PATENTE,,,$394.00
,10,4.333333333,0,06/05/2016,GLICEROL 1.380GR SUP.,,,$43.33
,80,35,0,06/05/2016,HIDROCORTISONA 100MG AMP.,,,"$2,800.00"
,30,65,0,06/05/2016,HIDROCORTISONA 500MG AMP.,,,"$1,950.00"
,300,6.9,0,06/05/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,"$2,070.00"
,1100,5,0,06/05/2016,KETOROLACO 30MG AMP.,,,"$5,500.00"
,18,70.5,0,06/05/2016,LIBERTRIM SOL. INY 0.050GR/ 5ML C/6 AMP TRIMEBUTINA,,,"$1,269.00"
,1,90,0,06/05/2016,LIDOCAINA 10% SPRAY,,,$90.00
,48,31.9,0,06/05/2016,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,"$1,531.20"
,120,1.65,0,06/05/2016,LORATADINA + AMBROXOL 100MG/600MG SUSPENSION,,,$198.00
,200,0.3,0,06/05/2016,MALEATO DE CLORFENAMINA 4MG TAB.,,,$60.00
,900,1.13,0,06/05/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,"$1,017.00"
,56,9.392857143,0,06/05/2016,MISOPROSTOL 200MCG TAB.,,,$526.00
,600,2.13,0,06/05/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,"$1,278.00"
,1,40,0,06/05/2016,NORFENEFRINA SO. GOTAS FCO.,,,$40.00
,6,18,0,06/05/2016,OXIMETAZOLINA SOL. NASAL 25 MG FCO. NEB.,,,$108.00
,100,16,0,06/05/2016,PARACETAMOL 160MG JBE FCO.,,,"$1,600.00"
,150,9.5,0,06/05/2016,PARACETAMOL GTS 30ML ,,,"$1,425.00"
,1,136,0,06/05/2016,POLICRESULENO  407.5MG  ,,,$136.00
